day_time,night
visibility,clear
ped_type,child
ego_speed,6.694444444444461
first_sight_dist,5.373128784179688
crash,False
time,"[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 1.25, 1.3, 1.35, 1.4, 1.45, 1.5, 1.55, 1.6, 1.65, 1.7, 1.75, 1.8, 1.85, 1.9, 1.95, 2.0, 2.05, 2.1, 2.15, 2.2, 2.25, 2.3, 2.35, 2.4, 2.45, 2.5, 2.55, 2.6, 2.65, 2.7, 2.75, 2.8, 2.85, 2.9, 2.95, 3.0, 3.05, 3.1, 3.15, 3.2, 3.25, 3.3, 3.35, 3.4, 3.45, 3.5, 3.55, 3.6, 3.65, 3.7, 3.75, 3.8, 3.85, 3.9, 3.95, 4.0, 4.05, 4.1, 4.15, 4.2, 4.25, 4.3, 4.35, 4.4, 4.45, 4.5, 4.55, 4.6, 4.65, 4.7, 4.75, 4.8, 4.85, 4.9, 4.95, 5.0, 5.05, 5.1, 5.15, 5.2, 5.25, 5.3, 5.35, 5.4, 5.45, 5.5, 5.55, 5.6, 5.65, 5.7, 5.75, 5.8, 5.85, 5.9, 5.95, 6.0, 6.05, 6.1, 6.15, 6.2, 6.25, 6.3, 6.35, 6.4, 6.45, 6.5, 6.55, 6.6, 6.65, 6.7, 6.75, 6.8, 6.85, 6.9, 6.95, 7.0, 7.05, 7.1, 7.15, 7.2, 7.25, 7.3, 7.35, 7.4, 7.45, 7.5, 7.55, 7.6, 7.65, 7.7, 7.75, 7.8, 7.85, 7.9, 7.95, 8.0, 8.05, 8.1, 8.15, 8.2, 8.25, 8.3, 8.35, 8.4, 8.45, 8.5, 8.55, 8.6, 8.65, 8.7, 8.75, 8.8, 8.85, 8.9, 8.95, 9.0, 9.05, 9.1, 9.15, 9.2, 9.25, 9.3, 9.35, 9.4, 9.45, 9.5, 9.55, 9.6, 9.65, 9.7, 9.75, 9.8, 9.85, 9.9, 9.95, 10.0, 10.05, 10.1, 10.15, 10.2, 10.25, 10.3, 10.35]"
ego_x,"[-3.0517578125e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.000152587890625, -0.000152587890625, 0.0001220703125, 0.000335693359375, 0.000244140625, 0.000396728515625, 0.0003662109375, 0.0003662109375, 0.0003662109375, -0.00067138671875, 0.0001220703125, -0.002044677734375, -0.0030517578125, -0.0032958984375, -0.0032958984375, -0.00323486328125, -0.0030517578125, -0.0029296875, -0.00286865234375, -0.00274658203125, -0.002716064453125, -0.002593994140625, -0.002593994140625, -0.002532958984375, -0.002532958984375, -0.002471923828125, -0.00238037109375, -0.002349853515625, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.002471923828125, -0.00250244140625, -0.00244140625, -0.0023193359375, -0.0023193359375, -0.0023193359375, -0.0023193359375, -0.0023193359375, -0.00238037109375, -0.00244140625, -0.00238037109375, -0.00225830078125, -0.002166748046875, -0.0020751953125, -0.001983642578125, -0.00189208984375, -0.00177001953125, -0.001678466796875, -0.001556396484375, -0.00146484375, -0.001373291015625, -0.00128173828125, -0.001190185546875, -0.001068115234375, -0.0009765625, -0.000885009765625, -0.00079345703125, -0.000701904296875, -0.000579833984375, -0.00048828125, -0.000396728515625, -0.00030517578125, -0.000213623046875, -9.1552734375e-05, 0.0, 9.1552734375e-05, 0.00018310546875, 0.000274658203125, 0.000396728515625, 0.00048828125, 0.000579833984375, 0.00067138671875, 0.000762939453125, 0.000885009765625, 0.0009765625, 0.001068115234375, 0.00115966796875, 0.001251220703125, 0.001373291015625, 0.00146484375, 0.001556396484375, 0.00164794921875, 0.001739501953125, 0.001861572265625, 0.001953125, 0.002044677734375, 0.00213623046875, 0.002227783203125, 0.002349853515625, 0.00244140625, 0.002532958984375, 0.00262451171875, 0.002716064453125, 0.002838134765625, 0.0029296875, 0.003021240234375, 0.00311279296875, 0.003204345703125, 0.003326416015625, 0.00341796875, 0.003509521484375, 0.00360107421875, 0.003692626953125, 0.003814697265625, 0.00390625, 0.003997802734375, 0.00408935546875, 0.004180908203125, 0.004302978515625, 0.00439453125, 0.004486083984375, 0.00457763671875, 0.004669189453125, 0.004791259765625, 0.0048828125, 0.004974365234375, 0.00506591796875, 0.005157470703125, 0.005157470703125, 0.005157470703125, 0.005218505859375, 0.005279541015625, 0.005340576171875, 0.0054931640625, 0.005706787109375, 0.00592041015625, 0.00604248046875, 0.006134033203125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125, 0.00616455078125]"
ego_y,"[-49.983978271484375, -49.97911071777344, -49.97892761230469, -49.97999572753906, -49.98161315917969, -49.983154296875, -49.98475646972656, -49.98619079589844, -49.98765563964844, -49.98893737792969, -49.99028015136719, -49.97886657714844, -49.940582275390625, -49.88462829589844, -49.81263732910156, -49.7254638671875, -49.622711181640625, -49.503692626953125, -49.3656005859375, -49.20672607421875, -49.02745056152344, -48.85394287109375, -48.653045654296875, -48.43107604980469, -48.18931579589844, -47.9287109375, -47.654876708984375, -47.37913513183594, -47.1005859375, -46.81996154785156, -46.540252685546875, -46.25413513183594, -45.9359130859375, -45.593963623046875, -45.23912048339844, -44.88240051269531, -44.52630615234375, -44.17189025878906, -43.81913757324219, -43.46807861328125, -43.11903381347656, -42.77197265625, -42.42713928222656, -42.08406066894531, -41.74285888671875, -41.40290832519531, -41.06431579589844, -40.72648620605469, -40.38951110839844, -40.05284118652344, -39.71669006347656, -39.380523681640625, -39.044647216796875, -38.708526611328125, -38.372528076171875, -38.036224365234375, -37.69993591308594, -37.36329650878906, -37.02668762207031, -36.68974304199219, -36.35289001464844, -36.015716552734375, -35.678680419921875, -35.34136962890625, -35.00425720214844, -34.6669921875, -34.33000183105469, -33.992828369140625, -33.65589904785156, -33.31874084472656, -32.9818115234375, -32.64469909667969, -32.30778503417969, -31.970672607421875, -31.6337890625, -31.29669189453125, -30.959793090820312, -30.622726440429688, -30.285873413085938, -29.948806762695312, -29.611953735351562, -29.27490234375, -28.93804931640625, -28.601028442382812, -28.264175415039062, -27.927169799804688, -27.590301513671875, -27.2532958984375, -26.91644287109375, -26.579421997070312, -26.242568969726562, -25.905548095703125, -25.568679809570312, -25.23162841796875, -24.894775390625, -24.557723999023438, -24.220870971679688, -23.883819580078125, -23.546966552734375, -23.209915161132812, -22.873062133789062, -22.5360107421875, -22.19915771484375, -21.862106323242188, -21.525253295898438, -21.188201904296875, -20.851348876953125, -20.514297485351562, -20.17742919921875, -19.84039306640625, -19.503524780273438, -19.166473388671875, -18.829620361328125, -18.492568969726562, -18.155715942382812, -17.81866455078125, -17.4818115234375, -17.144760131835938, -16.807907104492188, -16.470855712890625, -16.134002685546875, -15.796951293945312, -15.460098266601562, -15.123046875, -14.78619384765625, -14.449142456054688, -14.112274169921875, -13.775222778320312, -13.438369750976562, -13.101318359375, -12.76446533203125, -12.427413940429688, -12.090560913085938, -11.753509521484375, -11.416656494140625, -11.079605102539062, -10.742752075195312, -10.40570068359375, -10.06884765625, -9.731796264648438, -9.394943237304688, -9.057891845703125, -8.721023559570312, -8.384002685546875, -8.047149658203125, -7.7101287841796875, -7.3739013671875, -7.0414276123046875, -6.7165985107421875, -6.4039154052734375, -6.13751220703125, -5.9401702880859375, -5.812286376953125, -5.7532958984375, -5.7478790283203125, -5.747283935546875, -5.7465057373046875, -5.745758056640625, -5.745147705078125, -5.7447052001953125, -5.7443084716796875, -5.7440643310546875, -5.743896484375, -5.7437591552734375, -5.7436065673828125, -5.7435150146484375, -5.743438720703125, -5.743408203125, -5.743377685546875, -5.7433319091796875, -5.7433013916015625, -5.7432708740234375, -5.743255615234375, -5.7432403564453125, -5.7432403564453125, -5.7432403564453125, -5.74322509765625, -5.74322509765625, -5.74322509765625, -5.74322509765625, -5.74322509765625, -5.74322509765625, -5.74322509765625, -5.74322509765625, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125, -5.743194580078125]"
ego_v_x,"[9.194875747198239e-05, -0.00011044355051126331, -5.298122050589882e-05, -1.4447398825723212e-05, 2.7533594675333006e-06, 7.079844635882182e-06, 7.966780685819685e-06, 6.580012268386781e-06, 4.807299774256535e-06, 3.9290594031626824e-06, 3.0744195100851357e-06, -2.1096091131767025e-06, -0.00030804896960034966, 0.0012973828706890345, 0.004915036726742983, 0.0012617346365004778, -0.00122792087495327, 0.002501233946532011, -0.0010328375501558185, 0.0006210330175235868, 0.00041351126856170595, -0.024373916909098625, -0.06500199437141418, -0.027730710804462433, 0.0015094137052074075, 0.011659127660095692, 0.010784797370433807, 0.011029001325368881, 0.008957650512456894, 0.006760752759873867, 0.005857848562300205, 0.004560648463666439, 0.0031316708773374557, 0.002861073473468423, 0.002431123051792383, 0.0015805625589564443, 0.0020930147729814053, 0.0017104867147281766, 0.0011059717508032918, 0.001015562447719276, 0.0007903326186351478, 0.0006306488066911697, 0.0005366794066503644, 0.0004530779260676354, 0.000402425997890532, 0.0003556932497303933, 0.00032895259209908545, 0.00030795251950621605, 0.0003008427156601101, 0.0002867131261155009, 0.0002856442588381469, 0.00028050102991983294, 0.00028292767819948494, 0.0002728156396187842, 0.00028293064679019153, 0.0002935876545961946, 0.0012209662236273289, 0.0021033831872045994, 0.0017207016935572028, 0.0010981506202369928, 0.0007582306861877441, 0.0005675074062310159, 0.0005102289142087102, 0.00044710561633110046, 0.001098300446756184, 0.0025913368444889784, 0.002794296480715275, 0.0020321710035204887, 0.0015927059575915337, 0.001325594144873321, 0.0011980368290096521, 0.0011317851021885872, 0.0011075669899582863, 0.0010891779093071818, 0.0010961665539070964, 0.001074535888619721, 0.0010984697146341205, 0.001093464670702815, 0.0011095623485744, 0.0010980276856571436, 0.001113913138397038, 0.0011013738112524152, 0.0011160053545609117, 0.0011037375079467893, 0.0011182463495060802, 0.001105448231101036, 0.0011191786034032702, 0.001105864648707211, 0.0011200383305549622, 0.0011062042322009802, 0.00112050655297935, 0.0011067891027778387, 0.001121023204177618, 0.0011074391659349203, 0.001120978849940002, 0.0011066223960369825, 0.001120848348364234, 0.0011072278721258044, 0.0011209211079403758, 0.0011073320638388395, 0.0011210603406652808, 0.0011072790948674083, 0.0011212979443371296, 0.0011072867782786489, 0.001121588866226375, 0.0011068222811445594, 0.001121125416830182, 0.001107107731513679, 0.0011209417134523392, 0.0011072575580328703, 0.0011207758216187358, 0.0011072320630773902, 0.0011208128416910768, 0.0011072909692302346, 0.0011208968935534358, 0.0011070991167798638, 0.0011209022486582398, 0.0011070289183408022, 0.001121236477047205, 0.0011072559282183647, 0.0011207035277038813, 0.0011068424209952354, 0.001120606902986765, 0.0011070184409618378, 0.0011209266958758235, 0.0011070006294175982, 0.0011209718650206923, 0.0011070284526795149, 0.0011204289039596915, 0.0011070423061028123, 0.001120550325140357, 0.0011070787440985441, 0.0011208986397832632, 0.0011069130850955844, 0.0011207148199900985, 0.0011072747875005007, 0.0011205578921362758, 0.001107276533730328, 0.001120987581089139, 0.001107101677916944, 0.0011208778014406562, 0.00110720656812191, 0.001120776287280023, 0.0011532360222190619, 0.0023343684151768684, 0.0033593096304684877, 0.0038581816479563713, 0.004066884517669678, 0.004655853379517794, 0.00426641758531332, 0.00351903703995049, 0.0029860930517315865, 0.002239599823951721, 0.0008573699742555618, 0.00018039485439658165, 0.00048096044338308275, 0.0005397530621849, 0.0005267238011583686, 0.0005002259858883917, 0.0004806043580174446, 0.00046597744221799076, 0.0004574669001158327, 0.00045106871402822435, 0.00044888086267746985, 0.0004446006496436894, 0.00044410457485355437, 2.4746954295551404e-05, 2.056762605207041e-05, 2.1238549379631877e-05, 2.029541792580858e-05, 2.0283274352550507e-05, 2.028688686550595e-05, 1.967344360309653e-05, 1.9344090105732903e-05, 1.9270219127065502e-05, 1.862388126028236e-05, 1.9397102732909843e-05, 1.9555054677766748e-05, 1.9592194803408347e-05, 1.9642933693830855e-05, 1.9919276383006945e-05, 1.9504986994434148e-05, 1.9674338545883074e-05, 0.0, 1.9059218175243586e-05, 1.9910148694179952e-05, 1.9482336938381195e-05, 2.0084156858501956e-05, 1.9663721104734577e-05, 1.9398741642362438e-05, 1.9856095605064183e-05, 1.921828879858367e-05, 1.928828532982152e-05, 1.9510387573973276e-05, 1.9777602574322373e-05, 1.947276177816093e-05, 1.9399038137635216e-05, 1.964457260328345e-05, 1.9702389181475155e-05, 1.9733495719265193e-05, 1.6008167222025804e-05, 1.9807926946668886e-05, 1.9411816538195126e-05, 1.963719660125207e-05, 1.9891707779606804e-05, 1.9617638827185147e-05, 1.9689574401127174e-05]"
ego_v_y,"[-0.031128086149692535, -0.010238958522677422, -0.032238684594631195, -0.01869678869843483, -0.027603304013609886, -0.02012694999575615, -0.02704440802335739, -0.020359503105282784, -0.027064813300967216, -0.02037668414413929, -0.027133779600262642, 0.44935858249664307, 0.9636839032173157, 1.2469291687011719, 1.5510526895523071, 1.8803547620773315, 2.174077272415161, 2.518178939819336, 2.920400619506836, 3.342332363128662, 3.739258289337158, 3.8166756629943848, 4.228590488433838, 4.628610610961914, 5.009710788726807, 5.374415874481201, 5.493332862854004, 5.554007530212402, 5.5915141105651855, 5.6174540519714355, 5.588326454162598, 5.98204231262207, 6.57799768447876, 6.97572135925293, 7.126480579376221, 7.151629447937012, 7.113481521606445, 7.099694728851318, 7.046819686889648, 7.019598960876465, 6.960471153259277, 6.933549880981445, 6.87465238571167, 6.855639934539795, 6.804780960083008, 6.796813011169434, 6.755631446838379, 6.758458137512207, 6.72608757019043, 6.737715244293213, 6.712160110473633, 6.729985237121582, 6.708975791931152, 6.730510711669922, 6.712025165557861, 6.735036373138428, 6.71705436706543, 6.739349842071533, 6.7215471267700195, 6.744287490844727, 6.726166725158691, 6.748597145080566, 6.729883193969727, 6.751584529876709, 6.73097562789917, 6.751968860626221, 6.730715274810791, 6.751166820526123, 6.730741024017334, 6.751072406768799, 6.730652332305908, 6.7508416175842285, 6.730292797088623, 6.750406265258789, 6.729811191558838, 6.7499260902404785, 6.729343891143799, 6.749512672424316, 6.728981971740723, 6.7492194175720215, 6.728743553161621, 6.74904203414917, 6.72861385345459, 6.748961448669434, 6.728568077087402, 6.748943328857422, 6.728570461273193, 6.748965263366699, 6.728600978851318, 6.749000072479248, 6.728639602661133, 6.74903678894043, 6.728672981262207, 6.749068260192871, 6.728705406188965, 6.749094486236572, 6.728724956512451, 6.749111652374268, 6.728737831115723, 6.749119758605957, 6.72874116897583, 6.749120712280273, 6.728742599487305, 6.749120235443115, 6.728740692138672, 6.749117374420166, 6.728737831115723, 6.749114990234375, 6.728736400604248, 6.749113082885742, 6.728736877441406, 6.7491135597229, 6.728734970092773, 6.749112606048584, 6.728730201721191, 6.74910831451416, 6.728731155395508, 6.749109745025635, 6.728731155395508, 6.749106407165527, 6.728729248046875, 6.749109745025635, 6.728732585906982, 6.749111652374268, 6.728728294372559, 6.74910831451416, 6.728732585906982, 6.749111175537109, 6.728733539581299, 6.749111652374268, 6.728734016418457, 6.749114990234375, 6.72873592376709, 6.749114990234375, 6.728736400604248, 6.749111652374268, 6.728732109069824, 6.749111652374268, 6.728732109069824, 6.749113082885742, 6.728732109069824, 6.749111652374268, 6.728734016418457, 6.749460220336914, 6.72994327545166, 6.750739574432373, 6.7008562088012695, 6.611119270324707, 6.422763347625732, 5.984658718109131, 4.797112464904785, 3.419661283493042, 2.032630681991577, 0.6539244651794434, -0.0010929014533758163, -0.005078064277768135, -0.005379869136959314, -0.004618328996002674, -0.00367318419739604, -0.002821279689669609, -0.0021292646415531635, -0.001592515385709703, -0.0011851772433146834, -0.0008794988389126956, -0.0006517297006212175, -0.0004825526266358793, -0.0003570015251170844, -0.00018997392908204347, -0.00020622297597583383, -0.00017746022786013782, -0.00014095829101279378, -0.00010769259097287431, -8.143697050400078e-05, -6.0897411458427086e-05, -4.5588927605422214e-05, -1.7865006157080643e-05, -2.4503357053617947e-05, -2.2299456759355962e-05, -1.853250796557404e-05, -1.4638052562077064e-05, -1.1419197107898071e-05, -9.079435585590545e-06, -6.953608135518152e-06, 0.0, -4.178928065812215e-06, -3.944113814213779e-06, -3.5376381219975883e-06, -3.068912747039576e-06, -2.8709227990475483e-06, -2.322643922525458e-06, -2.1890457446716027e-06, -2.0108743683522334e-06, -1.8063932429868146e-06, -1.8003861441684421e-06, -1.7905048252941924e-06, -1.871436779765645e-06, -1.6183964817173546e-06, -1.6831513676152099e-06, -1.6235467228398193e-06, -1.5324819742090767e-06, -1.4785304074393935e-06, -1.5865358591327094e-06, -1.618787564439117e-06, -1.5032384226287832e-06, -1.5214365021165577e-06, -1.5391316310342518e-06, -1.551900027152442e-06]"
