day_time,night
visibility,clear
ped_type,child
ego_speed,7.388888888888915
first_sight_dist,3.866369140625
crash,False
time,"[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 1.25, 1.3, 1.35, 1.4, 1.45, 1.5, 1.55, 1.6, 1.65, 1.7, 1.75, 1.8, 1.85, 1.9, 1.95, 2.0, 2.05, 2.1, 2.15, 2.2, 2.25, 2.3, 2.35, 2.4, 2.45, 2.5, 2.55, 2.6, 2.65, 2.7, 2.75, 2.8, 2.85, 2.9, 2.95, 3.0, 3.05, 3.1, 3.15, 3.2, 3.25, 3.3, 3.35, 3.4, 3.45, 3.5, 3.55, 3.6, 3.65, 3.7, 3.75, 3.8, 3.85, 3.9, 3.95, 4.0, 4.05, 4.1, 4.15, 4.2, 4.25, 4.3, 4.35, 4.4, 4.45, 4.5, 4.55, 4.6, 4.65, 4.7, 4.75, 4.8, 4.85, 4.9, 4.95, 5.0, 5.05, 5.1, 5.15, 5.2, 5.25, 5.3, 5.35, 5.4, 5.45, 5.5, 5.55, 5.6, 5.65, 5.7, 5.75, 5.8, 5.85, 5.9, 5.95, 6.0, 6.05, 6.1, 6.15, 6.2, 6.25, 6.3, 6.35, 6.4, 6.45, 6.5, 6.55, 6.6, 6.65, 6.7, 6.75, 6.8, 6.85, 6.9, 6.95, 7.0, 7.05, 7.1, 7.15, 7.2, 7.25, 7.3, 7.35, 7.4, 7.45, 7.5, 7.55, 7.6, 7.65, 7.7, 7.75, 7.8, 7.85, 7.9, 7.95, 8.0, 8.05, 8.1, 8.15, 8.2, 8.25, 8.3, 8.35, 8.4, 8.45, 8.5, 8.55, 8.6, 8.65, 8.7, 8.75, 8.8, 8.85, 8.9, 8.95, 9.0, 9.05, 9.1, 9.15, 9.2, 9.25, 9.3, 9.35, 9.4, 9.45, 9.5, 9.55, 9.6, 9.65, 9.7, 9.75, 9.8, 9.85, 9.9]"
ego_x,"[-3.0517578125e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.000152587890625, -0.000152587890625, 0.0001220703125, 0.000335693359375, 0.000244140625, 0.000396728515625, 0.0003662109375, 0.0003662109375, 0.0003662109375, -0.00067138671875, 0.0001220703125, -0.002044677734375, -0.0030517578125, -0.0032958984375, -0.0032958984375, -0.00323486328125, -0.003082275390625, -0.002960205078125, -0.00286865234375, -0.002777099609375, -0.002716064453125, -0.002593994140625, -0.0025634765625, -0.002532958984375, -0.002593994140625, -0.002471923828125, -0.00244140625, -0.002349853515625, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002471923828125, -0.002471923828125, -0.002410888671875, -0.0023193359375, -0.002288818359375, -0.002288818359375, -0.002288818359375, -0.0023193359375, -0.002410888671875, -0.0023193359375, -0.002227783203125, -0.00213623046875, -0.002044677734375, -0.001953125, -0.0018310546875, -0.001739501953125, -0.00164794921875, -0.00152587890625, -0.001434326171875, -0.0013427734375, -0.001251220703125, -0.001129150390625, -0.00103759765625, -0.000946044921875, -0.0008544921875, -0.000762939453125, -0.000640869140625, -0.00054931640625, -0.000457763671875, -0.0003662109375, -0.000274658203125, -0.000152587890625, -6.103515625e-05, 3.0517578125e-05, 0.0001220703125, 0.000213623046875, 0.000335693359375, 0.00042724609375, 0.000518798828125, 0.0006103515625, 0.000701904296875, 0.000823974609375, 0.00091552734375, 0.001007080078125, 0.0010986328125, 0.001190185546875, 0.001312255859375, 0.00140380859375, 0.001495361328125, 0.0015869140625, 0.001678466796875, 0.001800537109375, 0.00189208984375, 0.001983642578125, 0.0020751953125, 0.002166748046875, 0.002288818359375, 0.00238037109375, 0.002471923828125, 0.0025634765625, 0.002655029296875, 0.002777099609375, 0.00286865234375, 0.002960205078125, 0.0030517578125, 0.003143310546875, 0.003265380859375, 0.00335693359375, 0.003448486328125, 0.0035400390625, 0.003631591796875, 0.003753662109375, 0.00384521484375, 0.003936767578125, 0.0040283203125, 0.004119873046875, 0.004241943359375, 0.00433349609375, 0.004425048828125, 0.0045166015625, 0.0045166015625, 0.0045166015625, 0.00457763671875, 0.004608154296875, 0.004638671875, 0.004852294921875, 0.0050048828125, 0.005096435546875, 0.00506591796875, 0.005096435546875, 0.005218505859375, 0.00537109375, 0.0054931640625, 0.005767822265625, 0.00604248046875, 0.006256103515625, 0.00628662109375, 0.00628662109375, 0.00628662109375, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875, 0.006317138671875]"
ego_y,"[-49.983978271484375, -49.97911071777344, -49.97892761230469, -49.97999572753906, -49.98161315917969, -49.983154296875, -49.98475646972656, -49.98619079589844, -49.98765563964844, -49.98893737792969, -49.99028015136719, -49.97886657714844, -49.940582275390625, -49.88462829589844, -49.81263732910156, -49.7254638671875, -49.622711181640625, -49.503692626953125, -49.3656005859375, -49.20672607421875, -49.02745056152344, -48.85394287109375, -48.653045654296875, -48.43107604980469, -48.18931579589844, -47.92860412597656, -47.653839111328125, -47.375732421875, -47.09434509277344, -46.81303405761719, -46.52473449707031, -46.20263671875, -45.85394287109375, -45.48695373535156, -45.11100769042969, -44.73335266113281, -44.35569763183594, -43.978118896484375, -43.600799560546875, -43.2236328125, -42.847381591796875, -42.47186279296875, -42.09751892089844, -41.72395324707031, -41.35139465332031, -40.97944641113281, -40.60826110839844, -40.23744201660156, -39.867156982421875, -39.49696350097656, -39.127166748046875, -38.75733947753906, -38.3876953125, -38.01786804199219, -37.648162841796875, -37.27824401855469, -36.908416748046875, -36.53837585449219, -36.168426513671875, -35.79827880859375, -35.42823791503906, -35.05802917480469, -34.688018798828125, -34.31794738769531, -33.94810485839844, -33.578125, -33.208251953125, -32.83819580078125, -32.46827697753906, -32.098175048828125, -31.728240966796875, -31.358154296875, -30.988250732421875, -30.618194580078125, -30.248321533203125, -29.878311157226562, -29.508468627929688, -29.138473510742188, -28.768630981445312, -28.39862060546875, -28.028778076171875, -27.658782958984375, -27.2889404296875, -26.9189453125, -26.549102783203125, -26.179092407226562, -25.809249877929688, -25.439254760742188, -25.069412231445312, -24.69940185546875, -24.329559326171875, -23.959564208984375, -23.5897216796875, -23.2197265625, -22.849884033203125, -22.479873657226562, -22.110031127929688, -21.740036010742188, -21.370193481445312, -21.00018310546875, -20.630340576171875, -20.260345458984375, -19.8905029296875, -19.5205078125, -19.150665283203125, -18.780654907226562, -18.410812377929688, -18.040817260742188, -17.670974731445312, -17.30096435546875, -16.931121826171875, -16.561126708984375, -16.1912841796875, -15.8212890625, -15.451446533203125, -15.081436157226562, -14.711593627929688, -14.341598510742188, -13.971755981445312, -13.60174560546875, -13.231903076171875, -12.861907958984375, -12.4920654296875, -12.1220703125, -11.752227783203125, -11.382217407226562, -11.012374877929688, -10.642379760742188, -10.272537231445312, -9.902542114257812, -9.532684326171875, -9.162689208984375, -8.7928466796875, -8.422821044921875, -8.053009033203125, -7.6830291748046875, -7.3131866455078125, -6.94317626953125, -6.5733489990234375, -6.203369140625, -5.834197998046875, -5.4690704345703125, -5.11181640625, -4.76519775390625, -4.43145751953125, -4.1139984130859375, -3.8436431884765625, -3.64208984375, -3.5097808837890625, -3.446441650390625, -3.4402313232421875, -3.439605712890625, -3.4387664794921875, -3.43798828125, -3.4373321533203125, -3.4368896484375, -3.4364776611328125, -3.4362030029296875, -3.43603515625, -3.4358978271484375, -3.435760498046875, -3.435638427734375, -3.435546875, -3.4355010986328125, -3.43548583984375, -3.4354400634765625, -3.4354095458984375, -3.4353790283203125, -3.43536376953125, -3.4353485107421875, -3.4353485107421875, -3.4353485107421875, -3.435333251953125, -3.435333251953125, -3.435333251953125, -3.435333251953125, -3.435333251953125, -3.435333251953125, -3.435333251953125, -3.435333251953125, -3.435333251953125, -3.435302734375, -3.435302734375, -3.435302734375, -3.435302734375, -3.435302734375, -3.435302734375, -3.435302734375, -3.435302734375, -3.435302734375, -3.435302734375, -3.435302734375, -3.435302734375, -3.435302734375, -3.435302734375, -3.435302734375, -3.435302734375, -3.435302734375]"
ego_v_x,"[9.194875747198239e-05, -0.00011044355051126331, -5.298122050589882e-05, -1.4447398825723212e-05, 2.7533594675333006e-06, 7.079844635882182e-06, 7.966780685819685e-06, 6.580012268386781e-06, 4.807299774256535e-06, 3.9290594031626824e-06, 3.0744195100851357e-06, -2.1096091131767025e-06, -0.00030804896960034966, 0.0012973828706890345, 0.004915036726742983, 0.0012617346365004778, -0.00122792087495327, 0.002501233946532011, -0.0010328375501558185, 0.0006210330175235868, 0.00041351126856170595, -0.024373916909098625, -0.06500199437141418, -0.027730710804462433, 0.0015094137052074075, 0.011650700122117996, 0.0108915651217103, 0.010959882289171219, 0.009341089054942131, 0.006659983657300472, 0.005604767706245184, 0.004419076256453991, 0.003713341662660241, 0.0029375453013926744, 0.0026242430321872234, 0.0015149781247600913, 0.0023134646471589804, 0.0016011870466172695, 0.0012949169613420963, 0.00100463826674968, 0.0007752770907245576, 0.0006338751991279423, 0.0005422792746685445, 0.00045886728912591934, 0.00040854146936908364, 0.0003595891175791621, 0.00034214372863061726, 0.0003206842811778188, 0.00031682674307376146, 0.00029628886841237545, 0.0002972126239910722, 0.0002867981675080955, 0.000291944743366912, 0.0003065820492338389, 0.0013351939851418138, 0.002145532052963972, 0.0016633173217996955, 0.0010684512089937925, 0.0007374380948022008, 0.0005672873230651021, 0.0005070075858384371, 0.0007820758037269115, 0.0024231369607150555, 0.002946070395410061, 0.0021498515270650387, 0.0016627295408397913, 0.0014030815800651908, 0.0012476789997890592, 0.0011795696336776018, 0.0011456760112196207, 0.0011381653603166342, 0.0011234101839363575, 0.0011325839441269636, 0.0011207946809008718, 0.001133117824792862, 0.001132062403485179, 0.0011417174246162176, 0.0011339798802509904, 0.0011452189646661282, 0.0011433010222390294, 0.0011474416824057698, 0.0011389869032427669, 0.0011494753416627645, 0.0011464976705610752, 0.001150034018792212, 0.0011430776212364435, 0.0011549980845302343, 0.0011422678362578154, 0.0011519467225298285, 0.0011439801892265677, 0.0011558005353435874, 0.0011442475952208042, 0.0011518109822645783, 0.0011445729760453105, 0.0011561980936676264, 0.001142641413025558, 0.0011519858380779624, 0.0011446367716416717, 0.0011566936736926436, 0.0011452026665210724, 0.0011528184404596686, 0.0011434517800807953, 0.0011566269677132368, 0.0011454065097495914, 0.0011525833979249, 0.0011436648201197386, 0.0011523772263899446, 0.0011443644762039185, 0.0011518478859215975, 0.0011484203860163689, 0.0011514507932588458, 0.0011420144001021981, 0.0011554757365956903, 0.0011423137038946152, 0.001151866395957768, 0.0011442528339102864, 0.0011515840888023376, 0.0011483104899525642, 0.0011556722456589341, 0.0011423646938055754, 0.001151791075244546, 0.0011423933319747448, 0.0011518483515828848, 0.001144380890764296, 0.0011516392696648836, 0.0011442118557170033, 0.0011559620033949614, 0.0011425380362197757, 0.0011517738457769156, 0.0011444034753367305, 0.0011513706995174289, 0.0011438668007031083, 0.0011560706188902259, 0.00110229616984725, 0.002312786178663373, 0.0034907208755612373, 0.003962232265621424, 0.004168883431702852, 0.004571641329675913, 0.0033423826098442078, 0.002596795791760087, 0.002305492525920272, 0.003942305687814951, 0.005277274176478386, 0.005654037930071354, 0.006003970745950937, 0.0067673493176698685, 0.005965508054941893, 0.004545603413134813, 0.0029352817218750715, 0.0007053478620946407, 0.0005129679339006543, 0.00047408766113221645, 0.00047524808906018734, 0.00048680033069103956, 0.0005000873934477568, 0.0005105850868858397, 0.0005212630494497716, 0.0005266996449790895, 0.0005338871851563454, 2.3774913643137552e-05, 2.1981670215609483e-05, 2.16035532503156e-05, 1.8513836039346643e-05, 2.2745802198187448e-05, 2.27340296987677e-05, 2.3318678358918987e-05, 2.3691318347118795e-05, 2.3585893359268084e-05, 2.3839920686441474e-05, 2.337619662284851e-05, 2.4069249775493518e-05, 2.3709684683126397e-05, 2.4143941118381917e-05, 2.4248287445516326e-05, 2.421296994725708e-05, 2.3793429136276245e-05, 2.427339495625347e-05, 2.3978389435797e-05, 2.4564713385188952e-05, 2.370230868109502e-05, 2.4340301024494693e-05, 2.4727507479838096e-05, 2.3896469429018907e-05, 2.4554505216656253e-05, 2.4403481802437454e-05, 2.3928432710818015e-05, 2.4518221835023724e-05, 0.0, 2.4353004846489057e-05, 2.452075386827346e-05, 2.4584232960478403e-05, 2.4381875846302137e-05, 2.465955913066864e-05, 2.431504435662646e-05, 2.4444125301670283e-05, 2.4299062715726905e-05, 2.4594217393314466e-05]"
ego_v_y,"[-0.031128086149692535, -0.010238958522677422, -0.032238684594631195, -0.01869678869843483, -0.027603304013609886, -0.02012694999575615, -0.02704440802335739, -0.020359503105282784, -0.027064813300967216, -0.02037668414413929, -0.027133779600262642, 0.44935858249664307, 0.9636839032173157, 1.2469291687011719, 1.5510526895523071, 1.8803547620773315, 2.174077272415161, 2.518178939819336, 2.920400619506836, 3.342332363128662, 3.739258289337158, 3.8166756629943848, 4.228590488433838, 4.628610610961914, 5.009710788726807, 5.379037380218506, 5.521258354187012, 5.616354465484619, 5.6173553466796875, 5.639374256134033, 6.039496421813965, 6.671159744262695, 7.141605854034424, 7.448486804962158, 7.532961368560791, 7.576524257659912, 7.559144020080566, 7.572401523590088, 7.550823211669922, 7.5486159324646, 7.516043663024902, 7.509766578674316, 7.4750590324401855, 7.471046447753906, 7.439438819885254, 7.440332412719727, 7.413333415985107, 7.419508457183838, 7.396971702575684, 7.407632350921631, 7.388652324676514, 7.402561664581299, 7.3860087394714355, 7.4015984535217285, 7.385995388031006, 7.401484966278076, 7.3866868019104, 7.403469562530518, 7.3888444900512695, 7.405877590179443, 7.3911452293396, 7.4076080322265625, 7.391483783721924, 7.407122611999512, 7.39100456237793, 7.407131671905518, 7.391576290130615, 7.407552719116211, 7.391848087310791, 7.40765380859375, 7.3918023109436035, 7.407509803771973, 7.391589641571045, 7.40726900100708, 7.391334533691406, 7.407029628753662, 7.391116619110107, 7.406844139099121, 7.390957355499268, 7.406722068786621, 7.390865802764893, 7.406655788421631, 7.3908209800720215, 7.4066314697265625, 7.390808582305908, 7.4066314697265625, 7.390818119049072, 7.406645774841309, 7.3908371925354, 7.406669616699219, 7.390857219696045, 7.406689167022705, 7.390875816345215, 7.406703472137451, 7.390887260437012, 7.406713485717773, 7.390894412994385, 7.406715393066406, 7.390897750854492, 7.406716823577881, 7.390899658203125, 7.406718730926514, 7.390897750854492, 7.406716346740723, 7.39089298248291, 7.406711101531982, 7.3908915519714355, 7.406713008880615, 7.39089298248291, 7.406713008880615, 7.390889644622803, 7.406712532043457, 7.390887260437012, 7.406708717346191, 7.390890121459961, 7.406711101531982, 7.390892028808594, 7.406712532043457, 7.390894412994385, 7.406713485717773, 7.390894412994385, 7.40671443939209, 7.390895366668701, 7.406714916229248, 7.390893936157227, 7.406713008880615, 7.390892028808594, 7.40671443939209, 7.390893459320068, 7.406716346740723, 7.390894412994385, 7.40671443939209, 7.390893936157227, 7.407293319702148, 7.392301082611084, 7.407845973968506, 7.3921380043029785, 7.40802001953125, 7.39248514175415, 7.409585475921631, 7.363063335418701, 7.262229919433594, 7.06733512878418, 6.847768306732178, 6.559062957763672, 6.057286739349365, 4.874350547790527, 3.503624439239502, 2.1171443462371826, 0.7378301620483398, -0.0011456755455583334, -0.005352567881345749, -0.005674573127180338, -0.004876570776104927, -0.003882011631503701, -0.0029845733661204576, -0.0022541163489222527, -0.0016862847842276096, -0.0012550374958664179, -0.0009310214663855731, -0.0006894213729538023, -0.0005102065042592585, -0.0003770268231164664, -0.00010398129961686209, -0.00018117809668183327, -0.0001731892698444426, -0.00014241680037230253, -0.00011078127135988325, -8.398563659284264e-05, -6.271112215472385e-05, -4.635994991986081e-05, -3.4573593438835815e-05, -1.8017648471868597e-05, -1.9824357877951115e-05, -1.6903200958040543e-05, -1.3467329154082108e-05, -1.0290918908140156e-05, -7.583108981634723e-06, -5.657880137732718e-06, -4.155203896516468e-06, -1.4019349237059942e-06, -1.9473902739264304e-06, -2.005548367378651e-06, -1.3120911717123818e-06, -1.1512831861182349e-06, -8.60043485317874e-07, -3.3720687042659847e-07, -2.7013243197870906e-07, 0.0, -1.388805692670303e-08, 8.200149892445552e-08, -1.3938115550615748e-08, 1.2150238148933568e-07, -1.4751304888704908e-07, 2.5645945811447746e-07, 1.7691955633836187e-07, 2.075536684742474e-07, 2.943831987067824e-07]"
