day_time,day
visibility,fog
ped_type,adult
ego_speed,6.694444444444461
first_sight_dist,7.394796264648438
crash,False
time,"[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 1.25, 1.3, 1.35, 1.4, 1.45, 1.5, 1.55, 1.6, 1.65, 1.7, 1.75, 1.8, 1.85, 1.9, 1.95, 2.0, 2.05, 2.1, 2.15, 2.2, 2.25, 2.3, 2.35, 2.4, 2.45, 2.5, 2.55, 2.6, 2.65, 2.7, 2.75, 2.8, 2.85, 2.9, 2.95, 3.0, 3.05, 3.1, 3.15, 3.2, 3.25, 3.3, 3.35, 3.4, 3.45, 3.5, 3.55, 3.6, 3.65, 3.7, 3.75, 3.8, 3.85, 3.9, 3.95, 4.0, 4.05, 4.1, 4.15, 4.2, 4.25, 4.3, 4.35, 4.4, 4.45, 4.5, 4.55, 4.6, 4.65, 4.7, 4.75, 4.8, 4.85, 4.9, 4.95, 5.0, 5.05, 5.1, 5.15, 5.2, 5.25, 5.3, 5.35, 5.4, 5.45, 5.5, 5.55, 5.6, 5.65, 5.7, 5.75, 5.8, 5.85, 5.9, 5.95, 6.0, 6.05, 6.1, 6.15, 6.2, 6.25, 6.3, 6.35, 6.4, 6.45, 6.5, 6.55, 6.6, 6.65, 6.7, 6.75, 6.8, 6.85, 6.9, 6.95, 7.0, 7.05, 7.1, 7.15, 7.2, 7.25, 7.3, 7.35, 7.4, 7.45, 7.5, 7.55, 7.6, 7.65, 7.7, 7.75, 7.8, 7.85, 7.9, 7.95, 8.0, 8.05, 8.1, 8.15, 8.2, 8.25, 8.3, 8.35, 8.4, 8.45, 8.5, 8.55, 8.6, 8.65, 8.7, 8.75, 8.8, 8.85, 8.9, 8.95, 9.0, 9.05, 9.1, 9.15, 9.2, 9.25, 9.3, 9.35, 9.4, 9.45, 9.5, 9.55, 9.6, 9.65, 9.7, 9.75, 9.8, 9.85, 9.9, 9.95, 10.0, 10.05, 10.1, 10.15, 10.2, 10.25, 10.3, 10.35]"
ego_x,"[-3.0517578125e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.000152587890625, -0.000152587890625, 0.0001220703125, 0.000335693359375, 0.000244140625, 0.000396728515625, 0.0003662109375, 0.0003662109375, 0.0003662109375, -0.00067138671875, 0.0001220703125, -0.002044677734375, -0.0030517578125, -0.0032958984375, -0.0032958984375, -0.00323486328125, -0.0030517578125, -0.0029296875, -0.00286865234375, -0.00274658203125, -0.002716064453125, -0.002593994140625, -0.002593994140625, -0.002532958984375, -0.002532958984375, -0.002471923828125, -0.00238037109375, -0.002349853515625, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.002471923828125, -0.00250244140625, -0.00244140625, -0.0023193359375, -0.0023193359375, -0.0023193359375, -0.0023193359375, -0.0023193359375, -0.00238037109375, -0.00244140625, -0.00238037109375, -0.00225830078125, -0.002166748046875, -0.0020751953125, -0.001983642578125, -0.00189208984375, -0.00177001953125, -0.001678466796875, -0.001556396484375, -0.00146484375, -0.001373291015625, -0.00128173828125, -0.001190185546875, -0.001068115234375, -0.0009765625, -0.000885009765625, -0.00079345703125, -0.000701904296875, -0.000579833984375, -0.00048828125, -0.000396728515625, -0.00030517578125, -0.000213623046875, -9.1552734375e-05, 0.0, 9.1552734375e-05, 0.00018310546875, 0.000274658203125, 0.000396728515625, 0.00048828125, 0.000579833984375, 0.00067138671875, 0.000762939453125, 0.000885009765625, 0.0009765625, 0.001068115234375, 0.00115966796875, 0.001251220703125, 0.001373291015625, 0.00146484375, 0.001556396484375, 0.00164794921875, 0.001739501953125, 0.001861572265625, 0.001953125, 0.002044677734375, 0.00213623046875, 0.002227783203125, 0.002349853515625, 0.00244140625, 0.002532958984375, 0.00262451171875, 0.002716064453125, 0.002838134765625, 0.0029296875, 0.003021240234375, 0.00311279296875, 0.003204345703125, 0.003326416015625, 0.00341796875, 0.003509521484375, 0.00360107421875, 0.003692626953125, 0.003814697265625, 0.00390625, 0.003997802734375, 0.00408935546875, 0.004180908203125, 0.004302978515625, 0.00439453125, 0.004486083984375, 0.00457763671875, 0.004669189453125, 0.004791259765625, 0.0048828125, 0.004974365234375, 0.00506591796875, 0.00518798828125, 0.00518798828125, 0.005218505859375, 0.00537109375, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.005401611328125, 0.005401611328125, 0.005401611328125, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375, 0.00537109375]"
ego_y,"[-49.983978271484375, -49.97911071777344, -49.97892761230469, -49.97999572753906, -49.98161315917969, -49.983154296875, -49.98475646972656, -49.98619079589844, -49.98765563964844, -49.98893737792969, -49.99028015136719, -49.97886657714844, -49.940582275390625, -49.88462829589844, -49.81263732910156, -49.7254638671875, -49.622711181640625, -49.503692626953125, -49.3656005859375, -49.20672607421875, -49.02745056152344, -48.85394287109375, -48.653045654296875, -48.43107604980469, -48.18931579589844, -47.9287109375, -47.654876708984375, -47.37913513183594, -47.1005859375, -46.81996154785156, -46.540252685546875, -46.25413513183594, -45.9359130859375, -45.593963623046875, -45.23912048339844, -44.88240051269531, -44.52630615234375, -44.17189025878906, -43.81913757324219, -43.46807861328125, -43.11903381347656, -42.77197265625, -42.42713928222656, -42.08406066894531, -41.74285888671875, -41.40290832519531, -41.06431579589844, -40.72648620605469, -40.38951110839844, -40.05284118652344, -39.71669006347656, -39.380523681640625, -39.044647216796875, -38.708526611328125, -38.372528076171875, -38.036224365234375, -37.69993591308594, -37.36329650878906, -37.02668762207031, -36.68974304199219, -36.35289001464844, -36.015716552734375, -35.678680419921875, -35.34136962890625, -35.00425720214844, -34.6669921875, -34.33000183105469, -33.992828369140625, -33.65589904785156, -33.31874084472656, -32.9818115234375, -32.64469909667969, -32.30778503417969, -31.970672607421875, -31.6337890625, -31.29669189453125, -30.959793090820312, -30.622726440429688, -30.285873413085938, -29.948806762695312, -29.611953735351562, -29.27490234375, -28.93804931640625, -28.601028442382812, -28.264175415039062, -27.927169799804688, -27.590301513671875, -27.2532958984375, -26.91644287109375, -26.579421997070312, -26.242568969726562, -25.905548095703125, -25.568679809570312, -25.23162841796875, -24.894775390625, -24.557723999023438, -24.220870971679688, -23.883819580078125, -23.546966552734375, -23.209915161132812, -22.873062133789062, -22.5360107421875, -22.19915771484375, -21.862106323242188, -21.525253295898438, -21.188201904296875, -20.851348876953125, -20.514297485351562, -20.17742919921875, -19.84039306640625, -19.503524780273438, -19.166473388671875, -18.829620361328125, -18.492568969726562, -18.155715942382812, -17.81866455078125, -17.4818115234375, -17.144760131835938, -16.807907104492188, -16.470855712890625, -16.134002685546875, -15.796951293945312, -15.460098266601562, -15.123046875, -14.78619384765625, -14.449142456054688, -14.112274169921875, -13.775222778320312, -13.438369750976562, -13.101318359375, -12.76446533203125, -12.427413940429688, -12.090560913085938, -11.753509521484375, -11.416656494140625, -11.079605102539062, -10.742752075195312, -10.40570068359375, -10.06884765625, -9.731796264648438, -9.395538330078125, -9.063079833984375, -8.738204956054688, -8.425582885742188, -8.159103393554688, -7.961639404296875, -7.833648681640625, -7.7745208740234375, -7.7691192626953125, -7.7685089111328125, -7.767730712890625, -7.7669830322265625, -7.766387939453125, -7.76593017578125, -7.76556396484375, -7.7653045654296875, -7.76513671875, -7.7649993896484375, -7.764862060546875, -7.764739990234375, -7.7646636962890625, -7.7646484375, -7.7646026611328125, -7.7645721435546875, -7.7645263671875, -7.7645111083984375, -7.7644805908203125, -7.7644805908203125, -7.76446533203125, -7.76446533203125, -7.76446533203125, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875, -7.7644500732421875]"
ego_v_x,"[9.194875747198239e-05, -0.00011044355051126331, -5.298122050589882e-05, -1.4447398825723212e-05, 2.7533594675333006e-06, 7.079844635882182e-06, 7.966780685819685e-06, 6.580012268386781e-06, 4.807299774256535e-06, 3.9290594031626824e-06, 3.0744195100851357e-06, -2.1096091131767025e-06, -0.00030804896960034966, 0.0012973828706890345, 0.004915036726742983, 0.0012617346365004778, -0.00122792087495327, 0.002501233946532011, -0.0010328375501558185, 0.0006210330175235868, 0.00041351126856170595, -0.024373916909098625, -0.06500199437141418, -0.027730710804462433, 0.0015094137052074075, 0.011659127660095692, 0.010784797370433807, 0.011029001325368881, 0.008957650512456894, 0.006760752759873867, 0.005857848562300205, 0.004560648463666439, 0.0031316708773374557, 0.002861073473468423, 0.002431123051792383, 0.0015805625589564443, 0.0020930147729814053, 0.0017104867147281766, 0.0011059717508032918, 0.001015562447719276, 0.0007903326186351478, 0.0006306488066911697, 0.0005366794066503644, 0.0004530779260676354, 0.000402425997890532, 0.0003556932497303933, 0.00032895259209908545, 0.00030795251950621605, 0.0003008427156601101, 0.0002867131261155009, 0.0002856442588381469, 0.00028050102991983294, 0.00028292767819948494, 0.0002728156396187842, 0.00028293064679019153, 0.0002935876545961946, 0.0012209662236273289, 0.0021033831872045994, 0.0017207016935572028, 0.0010981506202369928, 0.0007582306861877441, 0.0005675074062310159, 0.0005102289142087102, 0.00044710561633110046, 0.001098300446756184, 0.0025913368444889784, 0.002794296480715275, 0.0020321710035204887, 0.0015927059575915337, 0.001325594144873321, 0.0011980368290096521, 0.0011317851021885872, 0.0011075669899582863, 0.0010891779093071818, 0.0010961665539070964, 0.001074535888619721, 0.0010984697146341205, 0.001093464670702815, 0.0011095623485744, 0.0010980276856571436, 0.001113913138397038, 0.0011013738112524152, 0.0011160053545609117, 0.0011037375079467893, 0.0011182463495060802, 0.001105448231101036, 0.0011191786034032702, 0.001105864648707211, 0.0011200383305549622, 0.0011062042322009802, 0.00112050655297935, 0.0011067891027778387, 0.001121023204177618, 0.0011074391659349203, 0.001120978849940002, 0.0011066223960369825, 0.001120848348364234, 0.0011072278721258044, 0.0011209211079403758, 0.0011073320638388395, 0.0011210603406652808, 0.0011072790948674083, 0.0011212979443371296, 0.0011072867782786489, 0.001121588866226375, 0.0011068222811445594, 0.001121125416830182, 0.001107107731513679, 0.0011209417134523392, 0.0011072575580328703, 0.0011207758216187358, 0.0011072320630773902, 0.0011208128416910768, 0.0011072909692302346, 0.0011208968935534358, 0.0011070991167798638, 0.0011209022486582398, 0.0011070289183408022, 0.001121236477047205, 0.0011072559282183647, 0.0011207035277038813, 0.0011068424209952354, 0.001120606902986765, 0.0011070184409618378, 0.0011209266958758235, 0.0011070006294175982, 0.0011209718650206923, 0.0011070284526795149, 0.0011204289039596915, 0.0011070423061028123, 0.001120550325140357, 0.0011070787440985441, 0.0011208986397832632, 0.0011069130850955844, 0.0011207148199900985, 0.0011072747875005007, 0.0011205578921362758, 0.001107276533730328, 0.001120987581089139, 0.001107101677916944, 0.0011353567242622375, 0.0011679502204060555, 0.0011849416187033057, 0.0011485982686281204, 0.0019440118921920657, 0.002925918670371175, 0.002940577222034335, 0.0019395044073462486, 0.0005143239395692945, 0.000542077177669853, 0.0004982136306352913, 0.00045697970199398696, 0.0004222335119266063, 0.00038915075128898025, 0.00036213069688528776, 0.00034046583459712565, 0.0003186497779097408, 0.000304319808492437, 0.00029120375984348357, 0.0002824498515110463, 1.782737672328949e-05, 1.3950149877928197e-05, 1.3682301869266666e-05, 1.3319066965777893e-05, 1.3695340385311283e-05, 1.255059578397777e-05, 1.1970139894401655e-05, 1.1847279893117957e-05, 1.1572688890737481e-05, 1.0720919817686081e-05, 1.1269337846897542e-05, 1.1716950211848598e-05, 1.1245067980780732e-05, 1.1054109563701786e-05, 1.1230986274313182e-05, 1.1135879503854085e-05, 1.1189952601853292e-05, 0.0, 1.0688658221624792e-05, 1.0945125723083038e-05, 1.0907035175478086e-05, 1.1109672414022498e-05, 1.1136215107399039e-05, 1.058217094396241e-05, 1.075221189239528e-05, 1.1043678568967152e-05, 1.0659657164069358e-05, 1.071097267413279e-05, 1.0867118362511974e-05, 1.1127945072075818e-05, 1.1023934348486364e-05, 1.0888911674555857e-05, 1.1158138477185275e-05, 1.0983701940858737e-05, 9.000543286674656e-06, 1.0666567504813429e-05, 1.0676774763851427e-05, 1.1080745025537908e-05, 1.1052526133426e-05, 1.0802801625686698e-05, 1.11405552161159e-05, 1.0826345715031493e-05, 1.0828878657775931e-05, 1.104470356949605e-05, 1.0892152204178274e-05, 1.1189021279278677e-05, 1.0802913493535016e-05]"
ego_v_y,"[-0.031128086149692535, -0.010238958522677422, -0.032238684594631195, -0.01869678869843483, -0.027603304013609886, -0.02012694999575615, -0.02704440802335739, -0.020359503105282784, -0.027064813300967216, -0.02037668414413929, -0.027133779600262642, 0.44935858249664307, 0.9636839032173157, 1.2469291687011719, 1.5510526895523071, 1.8803547620773315, 2.174077272415161, 2.518178939819336, 2.920400619506836, 3.342332363128662, 3.739258289337158, 3.8166756629943848, 4.228590488433838, 4.628610610961914, 5.009710788726807, 5.374415874481201, 5.493332862854004, 5.554007530212402, 5.5915141105651855, 5.6174540519714355, 5.588326454162598, 5.98204231262207, 6.57799768447876, 6.97572135925293, 7.126480579376221, 7.151629447937012, 7.113481521606445, 7.099694728851318, 7.046819686889648, 7.019598960876465, 6.960471153259277, 6.933549880981445, 6.87465238571167, 6.855639934539795, 6.804780960083008, 6.796813011169434, 6.755631446838379, 6.758458137512207, 6.72608757019043, 6.737715244293213, 6.712160110473633, 6.729985237121582, 6.708975791931152, 6.730510711669922, 6.712025165557861, 6.735036373138428, 6.71705436706543, 6.739349842071533, 6.7215471267700195, 6.744287490844727, 6.726166725158691, 6.748597145080566, 6.729883193969727, 6.751584529876709, 6.73097562789917, 6.751968860626221, 6.730715274810791, 6.751166820526123, 6.730741024017334, 6.751072406768799, 6.730652332305908, 6.7508416175842285, 6.730292797088623, 6.750406265258789, 6.729811191558838, 6.7499260902404785, 6.729343891143799, 6.749512672424316, 6.728981971740723, 6.7492194175720215, 6.728743553161621, 6.74904203414917, 6.72861385345459, 6.748961448669434, 6.728568077087402, 6.748943328857422, 6.728570461273193, 6.748965263366699, 6.728600978851318, 6.749000072479248, 6.728639602661133, 6.74903678894043, 6.728672981262207, 6.749068260192871, 6.728705406188965, 6.749094486236572, 6.728724956512451, 6.749111652374268, 6.728737831115723, 6.749119758605957, 6.72874116897583, 6.749120712280273, 6.728742599487305, 6.749120235443115, 6.728740692138672, 6.749117374420166, 6.728737831115723, 6.749114990234375, 6.728736400604248, 6.749113082885742, 6.728736877441406, 6.7491135597229, 6.728734970092773, 6.749112606048584, 6.728730201721191, 6.74910831451416, 6.728731155395508, 6.749109745025635, 6.728731155395508, 6.749106407165527, 6.728729248046875, 6.749109745025635, 6.728732585906982, 6.749111652374268, 6.728728294372559, 6.74910831451416, 6.728732585906982, 6.749111175537109, 6.728733539581299, 6.749111652374268, 6.728734016418457, 6.749114990234375, 6.72873592376709, 6.749114990234375, 6.728736400604248, 6.749111652374268, 6.728732109069824, 6.749111652374268, 6.728732109069824, 6.749113082885742, 6.6991705894470215, 6.6093621253967285, 6.422974109649658, 5.978850364685059, 4.798561096191406, 3.421529769897461, 2.034105062484741, 0.6550149321556091, -0.0011347829131409526, -0.0050935023464262486, -0.005386412609368563, -0.004621544387191534, -0.00367479445412755, -0.0028226927388459444, -0.0021306881681084633, -0.0015941020101308823, -0.0011868226574733853, -0.0008818223141133785, -0.0006540868780575693, -0.00048541396972723305, -0.0003603194491006434, -0.0001934224710566923, -0.0002096029493259266, -0.00018063544121105224, -0.00014417964848689735, -0.00011120548151666299, -8.446853462373838e-05, -6.417762051569298e-05, -4.897281542071141e-05, -2.1437183022499084e-05, -2.780020258796867e-05, -2.584721914900001e-05, -2.172462518501561e-05, -1.7948616005014628e-05, -1.4587733858206775e-05, -1.2243799574207515e-05, -1.017294835037319e-05, 0.0, -7.177293355198344e-06, -7.306262887141202e-06, -6.877612122480059e-06, -6.474573183368193e-06, -5.942303687334061e-06, -5.884784968657186e-06, -5.554407835006714e-06, -5.3000076150055975e-06, -5.021523520554183e-06, -5.1107999752275646e-06, -5.110204256197903e-06, -5.106367098051123e-06, -5.037020855525043e-06, -4.924014319840353e-06, -4.9608570407144725e-06, -4.95733684147126e-06, -4.642940893972991e-06, -4.745442311104853e-06, -4.785861619893694e-06, -4.90903858008096e-06, -4.936531240673503e-06, -4.87739225718542e-06, -4.8170422815019265e-06, -4.921648724121042e-06, -4.928372618451249e-06, -4.780460130859865e-06, -4.88450723423739e-06, -4.802718649443705e-06, -4.806462584383553e-06]"
