day_time,night
visibility,fog
ped_type,child
ego_speed,7.61111111111114
first_sight_dist,4.6667841796875
crash,False
time,"[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 1.25, 1.3, 1.35, 1.4, 1.45, 1.5, 1.55, 1.6, 1.65, 1.7, 1.75, 1.8, 1.85, 1.9, 1.95, 2.0, 2.05, 2.1, 2.15, 2.2, 2.25, 2.3, 2.35, 2.4, 2.45, 2.5, 2.55, 2.6, 2.65, 2.7, 2.75, 2.8, 2.85, 2.9, 2.95, 3.0, 3.05, 3.1, 3.15, 3.2, 3.25, 3.3, 3.35, 3.4, 3.45, 3.5, 3.55, 3.6, 3.65, 3.7, 3.75, 3.8, 3.85, 3.9, 3.95, 4.0, 4.05, 4.1, 4.15, 4.2, 4.25, 4.3, 4.35, 4.4, 4.45, 4.5, 4.55, 4.6, 4.65, 4.7, 4.75, 4.8, 4.85, 4.9, 4.95, 5.0, 5.05, 5.1, 5.15, 5.2, 5.25, 5.3, 5.35, 5.4, 5.45, 5.5, 5.55, 5.6, 5.65, 5.7, 5.75, 5.8, 5.85, 5.9, 5.95, 6.0, 6.05, 6.1, 6.15, 6.2, 6.25, 6.3, 6.35, 6.4, 6.45, 6.5, 6.55, 6.6, 6.65, 6.7, 6.75, 6.8, 6.85, 6.9, 6.95, 7.0, 7.05, 7.1, 7.15, 7.2, 7.25, 7.3, 7.35, 7.4, 7.45, 7.5, 7.55, 7.6, 7.65, 7.7, 7.75, 7.8, 7.85, 7.9, 7.95, 8.0, 8.05, 8.1, 8.15, 8.2, 8.25, 8.3, 8.35, 8.4, 8.45, 8.5, 8.55, 8.6, 8.65, 8.7, 8.75, 8.8, 8.85, 8.9, 8.95, 9.0, 9.05, 9.1, 9.15, 9.2, 9.25, 9.3, 9.35, 9.4, 9.45, 9.5, 9.55, 9.6, 9.65, 9.7, 9.75]"
ego_x,"[-3.0517578125e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.000152587890625, -0.000152587890625, 0.0001220703125, 0.000335693359375, 0.000244140625, 0.000396728515625, 0.0003662109375, 0.0003662109375, 0.0003662109375, -0.00067138671875, 0.0001220703125, -0.002044677734375, -0.0030517578125, -0.0032958984375, -0.0032958984375, -0.00323486328125, -0.003082275390625, -0.002960205078125, -0.00286865234375, -0.002777099609375, -0.002716064453125, -0.002593994140625, -0.002593994140625, -0.002532958984375, -0.002593994140625, -0.00250244140625, -0.00244140625, -0.00238037109375, -0.00238037109375, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.002471923828125, -0.002532958984375, -0.002471923828125, -0.00238037109375, -0.0023193359375, -0.0023193359375, -0.0023193359375, -0.0023193359375, -0.00244140625, -0.00244140625, -0.002349853515625, -0.00225830078125, -0.002166748046875, -0.002044677734375, -0.001953125, -0.001861572265625, -0.00177001953125, -0.00164794921875, -0.001556396484375, -0.00146484375, -0.0013427734375, -0.001251220703125, -0.00115966796875, -0.001068115234375, -0.0009765625, -0.0008544921875, -0.000762939453125, -0.00067138671875, -0.000579833984375, -0.00048828125, -0.0003662109375, -0.000274658203125, -0.00018310546875, -9.1552734375e-05, 0.0, 0.0001220703125, 0.000213623046875, 0.00030517578125, 0.000396728515625, 0.00048828125, 0.0006103515625, 0.000701904296875, 0.00079345703125, 0.000885009765625, 0.0009765625, 0.0010986328125, 0.001190185546875, 0.00128173828125, 0.001373291015625, 0.00146484375, 0.0015869140625, 0.001678466796875, 0.00177001953125, 0.001861572265625, 0.001953125, 0.0020751953125, 0.002166748046875, 0.00225830078125, 0.002349853515625, 0.00244140625, 0.0025634765625, 0.002655029296875, 0.00274658203125, 0.002838134765625, 0.0029296875, 0.0030517578125, 0.003143310546875, 0.00323486328125, 0.003326416015625, 0.00341796875, 0.0035400390625, 0.003631591796875, 0.00372314453125, 0.003814697265625, 0.00390625, 0.0040283203125, 0.004119873046875, 0.00421142578125, 0.004241943359375, 0.00421142578125, 0.004241943359375, 0.004302978515625, 0.004364013671875, 0.0045166015625, 0.004730224609375, 0.004852294921875, 0.00482177734375, 0.004852294921875, 0.004974365234375, 0.005126953125, 0.005340576171875, 0.005523681640625, 0.0057373046875, 0.005889892578125, 0.0059814453125, 0.0059814453125, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375, 0.005950927734375]"
ego_y,"[-49.983978271484375, -49.97911071777344, -49.97892761230469, -49.97999572753906, -49.98161315917969, -49.983154296875, -49.98475646972656, -49.98619079589844, -49.98765563964844, -49.98893737792969, -49.99028015136719, -49.97886657714844, -49.940582275390625, -49.88462829589844, -49.81263732910156, -49.7254638671875, -49.622711181640625, -49.503692626953125, -49.3656005859375, -49.20672607421875, -49.02745056152344, -48.85394287109375, -48.653045654296875, -48.43107604980469, -48.18931579589844, -47.92860412597656, -47.653839111328125, -47.375732421875, -47.09434509277344, -46.81303405761719, -46.52473449707031, -46.20252990722656, -45.852996826171875, -45.4837646484375, -45.10282897949219, -44.71891784667969, -44.33439636230469, -43.94926452636719, -43.56378173828125, -43.177947998046875, -42.79248046875, -42.407379150390625, -42.023040771484375, -41.63923645019531, -41.25621032714844, -40.873626708984375, -40.49171447753906, -40.11009216308594, -39.72894287109375, -39.347930908203125, -38.96728515625, -38.58659362792969, -38.20616149902344, -37.82563781738281, -37.4451904296875, -37.06462097167969, -36.68414306640625, -36.303466796875, -35.92292785644531, -35.54217529296875, -35.16156005859375, -34.78089904785156, -34.40040588378906, -34.01985168457031, -33.63945007324219, -33.25886535644531, -32.87843322753906, -32.49784851074219, -32.11741638183594, -31.736831665039062, -31.35638427734375, -30.975799560546875, -30.595367431640625, -30.21478271484375, -29.834335327148438, -29.453750610351562, -29.07330322265625, -28.692703247070312, -28.312255859375, -27.931671142578125, -27.551223754882812, -27.170684814453125, -26.79022216796875, -26.409683227539062, -26.02923583984375, -25.648681640625, -25.268234252929688, -24.8876953125, -24.507247924804688, -24.126693725585938, -23.746246337890625, -23.365692138671875, -22.985244750976562, -22.60467529296875, -22.224227905273438, -21.843673706054688, -21.463211059570312, -21.082626342773438, -20.702178955078125, -20.32159423828125, -19.941146850585938, -19.560562133789062, -19.18011474609375, -18.799530029296875, -18.419082641601562, -18.038497924804688, -17.658035278320312, -17.277450561523438, -16.897003173828125, -16.51641845703125, -16.135971069335938, -15.755401611328125, -15.374954223632812, -14.994369506835938, -14.613922119140625, -14.233352661132812, -13.8529052734375, -13.472320556640625, -13.091873168945312, -12.711288452148438, -12.330841064453125, -11.95025634765625, -11.569793701171875, -11.189208984375, -10.808761596679688, -10.428176879882812, -10.0477294921875, -9.667144775390625, -9.286697387695312, -8.906112670898438, -8.525665283203125, -8.145095825195312, -7.7647247314453125, -7.3841705322265625, -7.0037841796875, -6.6239013671875, -6.2484893798828125, -5.8811492919921875, -5.525146484375, -5.181732177734375, -4.8524017333984375, -4.5498809814453125, -4.302337646484375, -4.0990753173828125, -3.938995361328125, -3.8211212158203125, -3.7540435791015625, -3.7444915771484375, -3.7440338134765625, -3.7433013916015625, -3.74261474609375, -3.7420806884765625, -3.7416534423828125, -3.7413482666015625, -3.7411041259765625, -3.740966796875, -3.740814208984375, -3.7406768798828125, -3.7405853271484375, -3.7405242919921875, -3.7405242919921875, -3.740447998046875, -3.7404327392578125, -3.7404022216796875, -3.740386962890625, -3.7403717041015625, -3.7403411865234375, -3.7403411865234375, -3.740325927734375, -3.740325927734375, -3.740325927734375, -3.740325927734375, -3.740325927734375, -3.740325927734375, -3.740325927734375, -3.740325927734375, -3.740325927734375, -3.7403106689453125, -3.7403106689453125, -3.7403106689453125, -3.7403106689453125, -3.7403106689453125, -3.7403106689453125, -3.7403106689453125, -3.7403106689453125, -3.7403106689453125, -3.7403106689453125, -3.7403106689453125, -3.7403106689453125, -3.7403106689453125, -3.7403106689453125, -3.7403106689453125, -3.7403106689453125, -3.7403106689453125, -3.7403106689453125]"
ego_v_x,"[9.194875747198239e-05, -0.00011044355051126331, -5.298122050589882e-05, -1.4447398825723212e-05, 2.7533594675333006e-06, 7.079844635882182e-06, 7.966780685819685e-06, 6.580012268386781e-06, 4.807299774256535e-06, 3.9290594031626824e-06, 3.0744195100851357e-06, -2.1096091131767025e-06, -0.00030804896960034966, 0.0012973828706890345, 0.004915036726742983, 0.0012617346365004778, -0.00122792087495327, 0.002501233946532011, -0.0010328375501558185, 0.0006210330175235868, 0.00041351126856170595, -0.024373916909098625, -0.06500199437141418, -0.027730710804462433, 0.0015094137052074075, 0.011650700122117996, 0.0108915651217103, 0.010959882289171219, 0.009341089054942131, 0.006659983657300472, 0.005604767706245184, 0.004421370569616556, 0.00371378380805254, 0.00298737408593297, 0.00229830015450716, 0.0017823202069848776, 0.0024411312770098448, 0.0016426361398771405, 0.001247996580787003, 0.000967913307249546, 0.0007641531992703676, 0.0006129888934083283, 0.0005181624437682331, 0.0004342421889305115, 0.0003804712032433599, 0.0003561846096999943, 0.0003353531938046217, 0.0003044103505089879, 0.00030472539947368205, 0.0002987805346492678, 0.00030102458549663424, 0.00028450239915400743, 0.00029005008400417864, 0.000696754374075681, 0.001965078990906477, 0.0018981442553922534, 0.0013074672315269709, 0.0008831067243590951, 0.0006607904797419906, 0.0005218636360950768, 0.0005240812315605581, 0.001963877584785223, 0.003007934894412756, 0.002340456238016486, 0.0018206590320914984, 0.0014774666633456945, 0.0013042241334915161, 0.0012094934936612844, 0.0011700511677190661, 0.0011500497348606586, 0.0011485794093459845, 0.0011373774614185095, 0.0011410133447498083, 0.0011409411672502756, 0.0011540409177541733, 0.0011435457272455096, 0.001154426485300064, 0.0011492888443171978, 0.0011572499061003327, 0.0011493813944980502, 0.0011635603150352836, 0.0011538852704688907, 0.001161498250439763, 0.001152900280430913, 0.0011665227357298136, 0.0011534017976373434, 0.0011624092003330588, 0.0011538696708157659, 0.0011665754718706012, 0.0011541862040758133, 0.001163007109425962, 0.0011561710853129625, 0.0011625763727352023, 0.0011533185606822371, 0.0011666680220514536, 0.0011559048434719443, 0.0011632334208115935, 0.0011547172907739878, 0.0011633216636255383, 0.001154472236521542, 0.0011677829315885901, 0.0011548082111403346, 0.0011639065342023969, 0.0011543766595423222, 0.001162974163889885, 0.001155938720330596, 0.0011627471540123224, 0.0011556146200746298, 0.0011624518083408475, 0.0011534381192177534, 0.0011667124927043915, 0.001153697376139462, 0.001163093838840723, 0.001153983874246478, 0.0011628603097051382, 0.0011557131074368954, 0.0011620140867307782, 0.0011548526817932725, 0.0011621976736932993, 0.0011551917996257544, 0.0011622722959145904, 0.0011557190446183085, 0.001162245636805892, 0.0011534279910847545, 0.0011669930536299944, 0.0011539743281900883, 0.0011630652006715536, 0.001153870252892375, 0.00116718711797148, 0.0011536949314177036, 0.0012363360729068518, 0.0019129309803247452, 0.003267129184678197, 0.0038642333820462227, 0.004291875287890434, 0.0045933504588902, 0.003983106929808855, 0.0029378512408584356, 0.0024982441682368517, 0.0035586096346378326, 0.00481454748660326, 0.005277435295283794, 0.005352646578103304, 0.0058899736031889915, 0.006437004543840885, 0.0047871507704257965, 0.002802789444103837, 0.0003255904885008931, 0.000587859598454088, 0.0006293705082498491, 0.0006205812096595764, 0.0006050063529983163, 0.0005949079641140997, 0.000582223990932107, 0.0005776752950623631, 2.9836221074219793e-05, 2.5340243155369535e-05, 2.497643254173454e-05, 2.435449459881056e-05, 2.4917273549363017e-05, 0.0, 2.4919918359955773e-05, 2.469953142281156e-05, 2.455007233947981e-05, 2.4683735318831168e-05, 2.4311020752065815e-05, 2.4619213945697993e-05, 2.4653150830999948e-05, 2.457454684190452e-05, 2.40941717493115e-05, 2.4160406610462815e-05, 2.4574137569288723e-05, 2.4451426725136116e-05, 2.4190581825678237e-05, 2.4044215024332516e-05, 2.4374759959755465e-05, 2.458304152241908e-05, 2.0078903617104515e-05, 2.4214572476921603e-05, 2.431977554806508e-05, 2.4498738639522344e-05, 2.419464181002695e-05, 2.4354270863113925e-05, 2.4103783289319836e-05, 2.4095288608805276e-05, 2.418022631900385e-05, 2.433031659165863e-05, 2.419561133137904e-05, 2.448830673529301e-05, 2.4559758458053693e-05, 2.457026312185917e-05, 2.4467892217217013e-05, 2.4522169042029418e-05, 2.4296081392094493e-05, 2.3914946723380126e-05]"
ego_v_y,"[-0.031128086149692535, -0.010238958522677422, -0.032238684594631195, -0.01869678869843483, -0.027603304013609886, -0.02012694999575615, -0.02704440802335739, -0.020359503105282784, -0.027064813300967216, -0.02037668414413929, -0.027133779600262642, 0.44935858249664307, 0.9636839032173157, 1.2469291687011719, 1.5510526895523071, 1.8803547620773315, 2.174077272415161, 2.518178939819336, 2.920400619506836, 3.342332363128662, 3.739258289337158, 3.8166756629943848, 4.228590488433838, 4.628610610961914, 5.009710788726807, 5.379037380218506, 5.521258354187012, 5.616354465484619, 5.6173553466796875, 5.639374256134033, 6.039496421813965, 6.676880359649658, 7.168222427368164, 7.5073466300964355, 7.660237789154053, 7.706763744354248, 7.703108787536621, 7.728029727935791, 7.7188029289245605, 7.726358413696289, 7.703987121582031, 7.704651832580566, 7.677505970001221, 7.677453517913818, 7.65094518661499, 7.653353691101074, 7.62954044342041, 7.635462284088135, 7.614800453186035, 7.6241021156311035, 7.606228351593018, 7.618204116821289, 7.6024041175842285, 7.615217208862305, 7.600594520568848, 7.614039897918701, 7.599974632263184, 7.615042686462402, 7.601402282714844, 7.616729736328125, 7.602543354034424, 7.61737060546875, 7.601992130279541, 7.616900444030762, 7.602614402770996, 7.617393493652344, 7.603212833404541, 7.617814540863037, 7.603456974029541, 7.6179022789001465, 7.603420734405518, 7.617785930633545, 7.603243350982666, 7.617587089538574, 7.603036403656006, 7.61738920211792, 7.602853298187256, 7.617236137390137, 7.602728843688965, 7.617142677307129, 7.60265588760376, 7.617093563079834, 7.602625370025635, 7.617076873779297, 7.60261869430542, 7.617083549499512, 7.60263204574585, 7.617096900939941, 7.602648735046387, 7.617112159729004, 7.602662086486816, 7.617127895355225, 7.602675437927246, 7.617138385772705, 7.60268497467041, 7.6171417236328125, 7.602688312530518, 7.617146015167236, 7.60269021987915, 7.617149353027344, 7.602691650390625, 7.6171464920043945, 7.60269021987915, 7.61714506149292, 7.602686405181885, 7.617142200469971, 7.6026835441589355, 7.617143154144287, 7.602686405181885, 7.617143154144287, 7.6026835441589355, 7.617142677307129, 7.602685451507568, 7.617140769958496, 7.602684020996094, 7.617143154144287, 7.602689743041992, 7.61714506149292, 7.602687835693359, 7.6171441078186035, 7.602686405181885, 7.6171441078186035, 7.602687358856201, 7.617146015167236, 7.602687835693359, 7.617144584655762, 7.602688312530518, 7.6171464920043945, 7.602685928344727, 7.617142677307129, 7.603648662567139, 7.618710041046143, 7.603824138641357, 7.618404865264893, 7.6039958000183105, 7.585518836975098, 7.454521179199219, 7.27975606918335, 7.02371072769165, 6.774990558624268, 6.469798564910889, 5.613804817199707, 4.604244709014893, 3.7317006587982178, 2.865494966506958, 2.041304349899292, 0.820205569267273, 0.00027400432736612856, -0.004243896342813969, -0.004768863320350647, -0.0041600060649216175, -0.0033273689914494753, -0.0025612874887883663, -0.0019345461623743176, -0.001446923241019249, -0.0010757781565189362, -0.0007980932714417577, -0.0005911642801947892, -0.00043719561654143035, -0.00032342507620342076, 0.0, -0.00014169928908813745, -0.00014355189341586083, -0.00012023424642393366, -9.438020788365975e-05, -7.152384205255657e-05, -5.36326042492874e-05, -3.9886770537123084e-05, -2.931662129412871e-05, -1.3514498277800158e-05, -1.617686757526826e-05, -1.4111974451225251e-05, -1.1276757504674606e-05, -8.750993401918095e-06, -6.3137858887785114e-06, -4.5776164370181505e-06, -3.568045030988287e-06, -7.832466053514509e-07, -1.550889237478259e-06, -1.4243495343180257e-06, -1.0437221362735727e-06, -8.499715136167652e-07, -6.535710213029233e-07, -3.7108023320797656e-07, -1.3893993866531673e-07, -3.795255665295372e-08, -8.047557997770127e-08, 7.261696310933985e-08, 6.947957320591058e-09, 1.4186661623227792e-08, 1.71333667253748e-07, 1.697731164540528e-07, 7.903552301513628e-08, 2.066732776029312e-07, 1.8809048185630672e-07]"
