day_time,night
visibility,clear
ped_type,child
ego_speed,8.66666666666671
first_sight_dist,3.60129345703125
crash,True
time,"[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 1.25, 1.3, 1.35, 1.4, 1.45, 1.5, 1.55, 1.6, 1.65, 1.7, 1.75, 1.8, 1.85, 1.9, 1.95, 2.0, 2.05, 2.1, 2.15, 2.2, 2.25, 2.3, 2.35, 2.4, 2.45, 2.5, 2.55, 2.6, 2.65, 2.7, 2.75, 2.8, 2.85, 2.9, 2.95, 3.0, 3.05, 3.1, 3.15, 3.2, 3.25, 3.3, 3.35, 3.4, 3.45, 3.5, 3.55, 3.6, 3.65, 3.7, 3.75, 3.8, 3.85, 3.9, 3.95, 4.0, 4.05, 4.1, 4.15, 4.2, 4.25, 4.3, 4.35, 4.4, 4.45, 4.5, 4.55, 4.6, 4.65, 4.7, 4.75, 4.8, 4.85, 4.9, 4.95, 5.0, 5.05, 5.1, 5.15, 5.2, 5.25, 5.3, 5.35, 5.4, 5.45, 5.5, 5.55, 5.6, 5.65, 5.7, 5.75, 5.8, 5.85, 5.9, 5.95, 6.0, 6.05, 6.1, 6.15, 6.2, 6.25, 6.3, 6.35, 6.4, 6.45, 6.5, 6.55, 6.6, 6.65, 6.7, 6.75, 6.8, 6.85]"
ego_x,"[-3.0517578125e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.000152587890625, -0.000152587890625, 0.0001220703125, 0.000335693359375, 0.000244140625, 0.000396728515625, 0.0003662109375, 0.0003662109375, 0.0003662109375, -0.00067138671875, 0.0001220703125, -0.002044677734375, -0.0030517578125, -0.0032958984375, -0.0032958984375, -0.00323486328125, -0.003082275390625, -0.002960205078125, -0.00286865234375, -0.002777099609375, -0.002716064453125, -0.002593994140625, -0.002593994140625, -0.0025634765625, -0.002532958984375, -0.00244140625, -0.00238037109375, -0.002288818359375, -0.002227783203125, -0.002227783203125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.0023193359375, -0.00238037109375, -0.0023193359375, -0.002227783203125, -0.002166748046875, -0.002166748046875, -0.002166748046875, -0.00225830078125, -0.00225830078125, -0.002166748046875, -0.002044677734375, -0.001953125, -0.001861572265625, -0.00177001953125, -0.001678466796875, -0.001556396484375, -0.00146484375, -0.0013427734375, -0.001251220703125, -0.00115966796875, -0.001068115234375, -0.0009765625, -0.0008544921875, -0.000762939453125, -0.00067138671875, -0.000579833984375, -0.00048828125, -0.0003662109375, -0.000274658203125, -0.00018310546875, -9.1552734375e-05, 0.0, 0.0001220703125, 0.000213623046875, 0.00030517578125, 0.000396728515625, 0.00048828125, 0.0006103515625, 0.000701904296875, 0.00079345703125, 0.000885009765625, 0.0009765625, 0.0010986328125, 0.001190185546875, 0.00128173828125, 0.001373291015625, 0.00146484375, 0.0015869140625, 0.001678466796875, 0.00177001953125, 0.001861572265625, 0.001953125, 0.0020751953125, 0.002166748046875, 0.00225830078125, 0.002349853515625, 0.00244140625, 0.0025634765625, 0.002655029296875, 0.00274658203125, 0.002838134765625, 0.0029296875, 0.0030517578125, 0.003143310546875, 0.00323486328125, 0.003326416015625, 0.00341796875, 0.0035400390625, 0.003631591796875, 0.003631591796875, 0.003631591796875, 0.003631591796875, 0.003631591796875, 0.00384521484375, 0.0040283203125, 0.004180908203125, 0.004119873046875, 0.004180908203125, 0.0042724609375, 0.004364013671875, 0.004638671875, 0.00494384765625, 0.005157470703125, 0.00537109375, 0.00555419921875, 0.005767822265625]"
ego_y,"[-49.983978271484375, -49.97911071777344, -49.97892761230469, -49.97999572753906, -49.98161315917969, -49.983154296875, -49.98475646972656, -49.98619079589844, -49.98765563964844, -49.98893737792969, -49.99028015136719, -49.97886657714844, -49.940582275390625, -49.88462829589844, -49.81263732910156, -49.7254638671875, -49.622711181640625, -49.503692626953125, -49.3656005859375, -49.20672607421875, -49.02745056152344, -48.85394287109375, -48.653045654296875, -48.43107604980469, -48.18931579589844, -47.92860412597656, -47.653839111328125, -47.375732421875, -47.09434509277344, -46.81303405761719, -46.52473449707031, -46.20237731933594, -45.85137939453125, -45.47666931152344, -45.082733154296875, -44.67427062988281, -44.258880615234375, -43.839599609375, -43.41664123535156, -42.99037170410156, -42.56187438964844, -42.13151550292969, -41.7000732421875, -41.26776123046875, -40.83509826660156, -40.402099609375, -39.96917724609375, -39.53630065917969, -39.10368347167969, -38.6712646484375, -38.23919677734375, -37.80723571777344, -37.375579833984375, -36.94401550292969, -36.5126953125, -36.08143615722656, -35.65040588378906, -35.219390869140625, -34.788604736328125, -34.35786437988281, -33.92738342285156, -33.496826171875, -33.06636047363281, -32.63581848144531, -32.20536804199219, -31.774765014648438, -31.34423828125, -30.91363525390625, -30.48309326171875, -30.052474975585938, -29.621932983398438, -29.191268920898438, -28.760696411132812, -28.330032348632812, -27.89947509765625, -27.46881103515625, -27.038238525390625, -26.607574462890625, -26.177001953125, -25.746337890625, -25.315780639648438, -24.885116577148438, -24.454544067382812, -24.023880004882812, -23.59332275390625, -23.16265869140625, -22.732086181640625, -22.301422119140625, -21.870849609375, -21.440185546875, -21.009628295898438, -20.578964233398438, -20.148391723632812, -19.717727661132812, -19.28717041015625, -18.85650634765625, -18.425933837890625, -17.995269775390625, -17.564697265625, -17.134033203125, -16.703475952148438, -16.272811889648438, -15.842239379882812, -15.411575317382812, -14.98101806640625, -14.55035400390625, -14.119781494140625, -13.689117431640625, -13.258544921875, -12.827880859375, -12.397323608398438, -11.966659545898438, -11.536087036132812, -11.105422973632812, -10.67486572265625, -10.24420166015625, -9.813629150390625, -9.382965087890625, -8.952392578125, -8.521728515625, -8.0911865234375, -7.6605682373046875, -7.230010986328125, -6.7993927001953125, -6.3688812255859375, -5.93829345703125, -5.5084991455078125, -5.083099365234375, -4.6667022705078125, -4.2626953125, -3.8733367919921875, -3.498992919921875, -3.1389923095703125, -2.792694091796875, -2.475372314453125, -2.1913299560546875, -1.946807861328125]"
ego_v_x,"[9.194875747198239e-05, -0.00011044355051126331, -5.298122050589882e-05, -1.4447398825723212e-05, 2.7533594675333006e-06, 7.079844635882182e-06, 7.966780685819685e-06, 6.580012268386781e-06, 4.807299774256535e-06, 3.9290594031626824e-06, 3.0744195100851357e-06, -2.1096091131767025e-06, -0.00030804896960034966, 0.0012973828706890345, 0.004915036726742983, 0.0012617346365004778, -0.00122792087495327, 0.002501233946532011, -0.0010328375501558185, 0.0006210330175235868, 0.00041351126856170595, -0.024373916909098625, -0.06500199437141418, -0.027730710804462433, 0.0015094137052074075, 0.011650700122117996, 0.0108915651217103, 0.010959882289171219, 0.009341089054942131, 0.006659983657300472, 0.005604767706245184, 0.004424174316227436, 0.0037266346625983715, 0.0030437069945037365, 0.0023979118559509516, 0.0017923861742019653, 0.003638696623966098, 0.0012190468842163682, 0.0013055216986685991, 0.0012522033648565412, 0.0009683866519480944, 0.0006837161490693688, 0.0005576719413511455, 0.0005024156416766346, 0.00045224279165267944, 0.0003933774132747203, 0.00037477779551409185, 0.0003388436452951282, 0.00032856609323062, 0.0003074999258387834, 0.00030471596983261406, 0.0006829715566709638, 0.0020949305035173893, 0.001901724492199719, 0.0012704402906820178, 0.0008557079709134996, 0.0006690598675049841, 0.0005581994773820043, 0.0018278185743838549, 0.003075712826102972, 0.0024298778735101223, 0.0018839890835806727, 0.001565206446684897, 0.0013726451434195042, 0.00128305668476969, 0.001235645147971809, 0.0012109033996239305, 0.0011974421795457602, 0.0012002892326563597, 0.001179317245259881, 0.0011771697318181396, 0.0012039033463224769, 0.0012069183867424726, 0.0011959495022892952, 0.0012030309299007058, 0.0011988342739641666, 0.0012054371181875467, 0.001200627419166267, 0.0012068874202668667, 0.001207031891681254, 0.0012082451721653342, 0.0012078519212082028, 0.001208630157634616, 0.00120822642929852, 0.0012091046664863825, 0.0012086640344932675, 0.0012092420365661383, 0.0012086242204532027, 0.0012092977995052934, 0.0012088193325325847, 0.001209431909956038, 0.0012089447118341923, 0.0012095492566004395, 0.001208898494951427, 0.001209448790177703, 0.0012084943009540439, 0.0012093590339645743, 0.0012087993090972304, 0.0012096951249986887, 0.0012086156057193875, 0.001209595357067883, 0.0012082052417099476, 0.0012094627600163221, 0.001208534580655396, 0.001209308160468936, 0.001209001406095922, 0.0012092265533283353, 0.0012084788177162409, 0.0012091788230463862, 0.0012084597256034613, 0.0012092922115698457, 0.0012085724156349897, 0.0012094040866941214, 0.0012084763729944825, 0.0012096462305635214, 0.0012087185168638825, 0.001209776266478002, 0.0012082491302862763, 0.0012094024568796158, 0.0012838209513574839, 0.0018136986764147878, 0.0035783937200903893, 0.004278461914509535, 0.004624906461685896, 0.0047180140390992165, 0.003184995613992214, 0.002603126922622323, 0.004234927706420422, 0.005635879933834076, 0.006445607170462608, 0.0069280159659683704, 0.005950040649622679, 0.005010511260479689, 0.004533433821052313, 0.0035731454845517874, 0.003030491294339299, 0.0038391579873859882]"
ego_v_y,"[-0.031128086149692535, -0.010238958522677422, -0.032238684594631195, -0.01869678869843483, -0.027603304013609886, -0.02012694999575615, -0.02704440802335739, -0.020359503105282784, -0.027064813300967216, -0.02037668414413929, -0.027133779600262642, 0.44935858249664307, 0.9636839032173157, 1.2469291687011719, 1.5510526895523071, 1.8803547620773315, 2.174077272415161, 2.518178939819336, 2.920400619506836, 3.342332363128662, 3.739258289337158, 3.8166756629943848, 4.228590488433838, 4.628610610961914, 5.009710788726807, 5.379037380218506, 5.521258354187012, 5.616354465484619, 5.6173553466796875, 5.639374256134033, 6.039496421813965, 6.684703350067139, 7.217828273773193, 7.660516738891602, 8.01312255859375, 8.259925842285156, 8.348692893981934, 8.43657112121582, 8.494458198547363, 8.555143356323242, 8.586429595947266, 8.624242782592773, 8.635594367980957, 8.656542778015137, 8.654743194580078, 8.66515827178955, 8.655744552612305, 8.660713195800781, 8.647805213928223, 8.650856018066406, 8.637125968933105, 8.639511108398438, 8.626568794250488, 8.629279136657715, 8.61702823638916, 8.622589111328125, 8.611856460571289, 8.618895530700684, 8.608244895935059, 8.615943908691406, 8.606045722961426, 8.614511489868164, 8.605935096740723, 8.614785194396973, 8.606438636779785, 8.615365028381348, 8.607013702392578, 8.615901947021484, 8.607489585876465, 8.616311073303223, 8.607833862304688, 8.616584777832031, 8.608043670654297, 8.616740226745605, 8.608150482177734, 8.61680793762207, 8.60818862915039, 8.61682415008545, 8.608185768127441, 8.61681079864502, 8.608166694641113, 8.61678409576416, 8.608138084411621, 8.616758346557617, 8.608114242553711, 8.616738319396973, 8.608098983764648, 8.616724967956543, 8.608088493347168, 8.616717338562012, 8.608081817626953, 8.616714477539062, 8.608080863952637, 8.616713523864746, 8.60807991027832, 8.616713523864746, 8.608083724975586, 8.616716384887695, 8.608083724975586, 8.616718292236328, 8.608086585998535, 8.616719245910645, 8.608086585998535, 8.616720199584961, 8.608086585998535, 8.616720199584961, 8.608087539672852, 8.616721153259277, 8.608088493347168, 8.616720199584961, 8.608085632324219, 8.616718292236328, 8.608084678649902, 8.616718292236328, 8.608086585998535, 8.616720199584961, 8.608084678649902, 8.616719245910645, 8.608087539672852, 8.616167068481445, 8.609376907348633, 8.618233680725098, 8.60968017578125, 8.617671012878418, 8.61082649230957, 8.619770050048828, 8.57763957977295, 8.458925247192383, 8.24134635925293, 7.978878021240234, 7.671875476837158, 7.38638973236084, 7.081508636474609, 6.826167583465576, 6.038994789123535, 5.511183261871338, 4.3540778160095215]"
