day_time,night
visibility,fog
ped_type,adult
ego_speed,7.388888888888915
first_sight_dist,7.195684326171875
crash,False
time,"[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 1.25, 1.3, 1.35, 1.4, 1.45, 1.5, 1.55, 1.6, 1.65, 1.7, 1.75, 1.8, 1.85, 1.9, 1.95, 2.0, 2.05, 2.1, 2.15, 2.2, 2.25, 2.3, 2.35, 2.4, 2.45, 2.5, 2.55, 2.6, 2.65, 2.7, 2.75, 2.8, 2.85, 2.9, 2.95, 3.0, 3.05, 3.1, 3.15, 3.2, 3.25, 3.3, 3.35, 3.4, 3.45, 3.5, 3.55, 3.6, 3.65, 3.7, 3.75, 3.8, 3.85, 3.9, 3.95, 4.0, 4.05, 4.1, 4.15, 4.2, 4.25, 4.3, 4.35, 4.4, 4.45, 4.5, 4.55, 4.6, 4.65, 4.7, 4.75, 4.8, 4.85, 4.9, 4.95, 5.0, 5.05, 5.1, 5.15, 5.2, 5.25, 5.3, 5.35, 5.4, 5.45, 5.5, 5.55, 5.6, 5.65, 5.7, 5.75, 5.8, 5.85, 5.9, 5.95, 6.0, 6.05, 6.1, 6.15, 6.2, 6.25, 6.3, 6.35, 6.4, 6.45, 6.5, 6.55, 6.6, 6.65, 6.7, 6.75, 6.8, 6.85, 6.9, 6.95, 7.0, 7.05, 7.1, 7.15, 7.2, 7.25, 7.3, 7.35, 7.4, 7.45, 7.5, 7.55, 7.6, 7.65, 7.7, 7.75, 7.8, 7.85, 7.9, 7.95, 8.0, 8.05, 8.1, 8.15, 8.2, 8.25, 8.3, 8.35, 8.4, 8.45, 8.5, 8.55, 8.6, 8.65, 8.7, 8.75, 8.8, 8.85, 8.9, 8.95, 9.0, 9.05, 9.1, 9.15, 9.2, 9.25, 9.3, 9.35, 9.4, 9.45, 9.5, 9.55, 9.6, 9.65, 9.7, 9.75, 9.8, 9.85, 9.9]"
ego_x,"[-3.0517578125e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.000152587890625, -0.000152587890625, 0.0001220703125, 0.000335693359375, 0.000244140625, 0.000396728515625, 0.0003662109375, 0.0003662109375, 0.0003662109375, -0.00067138671875, 0.0001220703125, -0.002044677734375, -0.0030517578125, -0.0032958984375, -0.0032958984375, -0.00323486328125, -0.003082275390625, -0.002960205078125, -0.00286865234375, -0.002777099609375, -0.002716064453125, -0.002593994140625, -0.0025634765625, -0.002532958984375, -0.002593994140625, -0.002471923828125, -0.00244140625, -0.002349853515625, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002471923828125, -0.002471923828125, -0.002410888671875, -0.0023193359375, -0.002288818359375, -0.002288818359375, -0.002288818359375, -0.0023193359375, -0.002410888671875, -0.0023193359375, -0.002227783203125, -0.00213623046875, -0.002044677734375, -0.001953125, -0.0018310546875, -0.001739501953125, -0.00164794921875, -0.00152587890625, -0.001434326171875, -0.0013427734375, -0.001251220703125, -0.001129150390625, -0.00103759765625, -0.000946044921875, -0.0008544921875, -0.000762939453125, -0.000640869140625, -0.00054931640625, -0.000457763671875, -0.0003662109375, -0.000274658203125, -0.000152587890625, -6.103515625e-05, 3.0517578125e-05, 0.0001220703125, 0.000213623046875, 0.000335693359375, 0.00042724609375, 0.000518798828125, 0.0006103515625, 0.000701904296875, 0.000823974609375, 0.00091552734375, 0.001007080078125, 0.0010986328125, 0.001190185546875, 0.001312255859375, 0.00140380859375, 0.001495361328125, 0.0015869140625, 0.001678466796875, 0.001800537109375, 0.00189208984375, 0.001983642578125, 0.0020751953125, 0.002166748046875, 0.002288818359375, 0.00238037109375, 0.002471923828125, 0.0025634765625, 0.002655029296875, 0.002777099609375, 0.00286865234375, 0.002960205078125, 0.0030517578125, 0.003143310546875, 0.003265380859375, 0.00335693359375, 0.003448486328125, 0.0035400390625, 0.003631591796875, 0.003753662109375, 0.00384521484375, 0.003936767578125, 0.0040283203125, 0.004119873046875, 0.004241943359375, 0.00433349609375, 0.004425048828125, 0.0045166015625, 0.0045166015625, 0.004547119140625, 0.004608154296875, 0.004730224609375, 0.004852294921875, 0.004974365234375, 0.00506591796875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875, 0.005096435546875]"
ego_y,"[-49.983978271484375, -49.97911071777344, -49.97892761230469, -49.97999572753906, -49.98161315917969, -49.983154296875, -49.98475646972656, -49.98619079589844, -49.98765563964844, -49.98893737792969, -49.99028015136719, -49.97886657714844, -49.940582275390625, -49.88462829589844, -49.81263732910156, -49.7254638671875, -49.622711181640625, -49.503692626953125, -49.3656005859375, -49.20672607421875, -49.02745056152344, -48.85394287109375, -48.653045654296875, -48.43107604980469, -48.18931579589844, -47.92860412597656, -47.653839111328125, -47.375732421875, -47.09434509277344, -46.81303405761719, -46.52473449707031, -46.20263671875, -45.85394287109375, -45.48695373535156, -45.11100769042969, -44.73335266113281, -44.35569763183594, -43.978118896484375, -43.600799560546875, -43.2236328125, -42.847381591796875, -42.47186279296875, -42.09751892089844, -41.72395324707031, -41.35139465332031, -40.97944641113281, -40.60826110839844, -40.23744201660156, -39.867156982421875, -39.49696350097656, -39.127166748046875, -38.75733947753906, -38.3876953125, -38.01786804199219, -37.648162841796875, -37.27824401855469, -36.908416748046875, -36.53837585449219, -36.168426513671875, -35.79827880859375, -35.42823791503906, -35.05802917480469, -34.688018798828125, -34.31794738769531, -33.94810485839844, -33.578125, -33.208251953125, -32.83819580078125, -32.46827697753906, -32.098175048828125, -31.728240966796875, -31.358154296875, -30.988250732421875, -30.618194580078125, -30.248321533203125, -29.878311157226562, -29.508468627929688, -29.138473510742188, -28.768630981445312, -28.39862060546875, -28.028778076171875, -27.658782958984375, -27.2889404296875, -26.9189453125, -26.549102783203125, -26.179092407226562, -25.809249877929688, -25.439254760742188, -25.069412231445312, -24.69940185546875, -24.329559326171875, -23.959564208984375, -23.5897216796875, -23.2197265625, -22.849884033203125, -22.479873657226562, -22.110031127929688, -21.740036010742188, -21.370193481445312, -21.00018310546875, -20.630340576171875, -20.260345458984375, -19.8905029296875, -19.5205078125, -19.150665283203125, -18.780654907226562, -18.410812377929688, -18.040817260742188, -17.670974731445312, -17.30096435546875, -16.931121826171875, -16.561126708984375, -16.1912841796875, -15.8212890625, -15.451446533203125, -15.081436157226562, -14.711593627929688, -14.341598510742188, -13.971755981445312, -13.60174560546875, -13.231903076171875, -12.861907958984375, -12.4920654296875, -12.1220703125, -11.752227783203125, -11.382217407226562, -11.012374877929688, -10.642379760742188, -10.272537231445312, -9.902542114257812, -9.532684326171875, -9.163299560546875, -8.798370361328125, -8.441299438476562, -8.09527587890625, -7.76251220703125, -7.4490203857421875, -7.1910552978515625, -7.0023040771484375, -6.882904052734375, -6.832305908203125, -6.8302154541015625, -6.8295135498046875, -6.82867431640625, -6.82794189453125, -6.8273468017578125, -6.826873779296875, -6.8265228271484375, -6.826263427734375, -6.82611083984375, -6.825958251953125, -6.8257904052734375, -6.8256988525390625, -6.82562255859375, -6.8255615234375, -6.8255157470703125, -6.8254852294921875, -6.8254852294921875, -6.825469970703125, -6.825439453125, -6.825439453125, -6.8254241943359375, -6.8254241943359375, -6.8254241943359375, -6.8254241943359375, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875, -6.825408935546875]"
ego_v_x,"[9.194875747198239e-05, -0.00011044355051126331, -5.298122050589882e-05, -1.4447398825723212e-05, 2.7533594675333006e-06, 7.079844635882182e-06, 7.966780685819685e-06, 6.580012268386781e-06, 4.807299774256535e-06, 3.9290594031626824e-06, 3.0744195100851357e-06, -2.1096091131767025e-06, -0.00030804896960034966, 0.0012973828706890345, 0.004915036726742983, 0.0012617346365004778, -0.00122792087495327, 0.002501233946532011, -0.0010328375501558185, 0.0006210330175235868, 0.00041351126856170595, -0.024373916909098625, -0.06500199437141418, -0.027730710804462433, 0.0015094137052074075, 0.011650700122117996, 0.0108915651217103, 0.010959882289171219, 0.009341089054942131, 0.006659983657300472, 0.005604767706245184, 0.004419076256453991, 0.003713341662660241, 0.0029375453013926744, 0.0026242430321872234, 0.0015149781247600913, 0.0023134646471589804, 0.0016011870466172695, 0.0012949169613420963, 0.00100463826674968, 0.0007752770907245576, 0.0006338751991279423, 0.0005422792746685445, 0.00045886728912591934, 0.00040854146936908364, 0.0003595891175791621, 0.00034214372863061726, 0.0003206842811778188, 0.00031682674307376146, 0.00029628886841237545, 0.0002972126239910722, 0.0002867981675080955, 0.000291944743366912, 0.0003065820492338389, 0.0013351939851418138, 0.002145532052963972, 0.0016633173217996955, 0.0010684512089937925, 0.0007374380948022008, 0.0005672873230651021, 0.0005070075858384371, 0.0007820758037269115, 0.0024231369607150555, 0.002946070395410061, 0.0021498515270650387, 0.0016627295408397913, 0.0014030815800651908, 0.0012476789997890592, 0.0011795696336776018, 0.0011456760112196207, 0.0011381653603166342, 0.0011234101839363575, 0.0011325839441269636, 0.0011207946809008718, 0.001133117824792862, 0.001132062403485179, 0.0011417174246162176, 0.0011339798802509904, 0.0011452189646661282, 0.0011433010222390294, 0.0011474416824057698, 0.0011389869032427669, 0.0011494753416627645, 0.0011464976705610752, 0.001150034018792212, 0.0011430776212364435, 0.0011549980845302343, 0.0011422678362578154, 0.0011519467225298285, 0.0011439801892265677, 0.0011558005353435874, 0.0011442475952208042, 0.0011518109822645783, 0.0011445729760453105, 0.0011561980936676264, 0.001142641413025558, 0.0011519858380779624, 0.0011446367716416717, 0.0011566936736926436, 0.0011452026665210724, 0.0011528184404596686, 0.0011434517800807953, 0.0011566269677132368, 0.0011454065097495914, 0.0011525833979249, 0.0011436648201197386, 0.0011523772263899446, 0.0011443644762039185, 0.0011518478859215975, 0.0011484203860163689, 0.0011514507932588458, 0.0011420144001021981, 0.0011554757365956903, 0.0011423137038946152, 0.001151866395957768, 0.0011442528339102864, 0.0011515840888023376, 0.0011483104899525642, 0.0011556722456589341, 0.0011423646938055754, 0.001151791075244546, 0.0011423933319747448, 0.0011518483515828848, 0.001144380890764296, 0.0011516392696648836, 0.0011442118557170033, 0.0011559620033949614, 0.0011425380362197757, 0.0011517738457769156, 0.0011444034753367305, 0.0011513706995174289, 0.0011569771450012922, 0.001199118560180068, 0.0012143761850893497, 0.002315904013812542, 0.0032110819593071938, 0.0034548090770840645, 0.003725474001839757, 0.0033639799803495407, 0.003057488240301609, 0.002292567864060402, 0.0006695618503727019, 0.0005653761327266693, 0.0005071928026154637, 0.0004641378181986511, 0.0004339215811342001, 0.0004126564599573612, 0.0003925968485418707, 0.0003798703837674111, 0.0003676918859127909, 0.00035959455999545753, 2.8950571504537947e-05, 2.3791919375071302e-05, 2.09424633794697e-05, 1.957902713911608e-05, 1.773662916093599e-05, 1.71100164152449e-05, 1.5462170267710462e-05, 1.5903990060905926e-05, 1.5365052604465745e-05, 1.556970164529048e-05, 1.576980503159575e-05, 1.490941212978214e-05, 1.4463476873061154e-05, 1.4745667613169644e-05, 1.4487858607026283e-05, 1.4770589586987626e-05, 1.4676153114123736e-05, 1.477762998547405e-05, 1.4702752196171787e-05, 1.4235246453608852e-05, 1.4230347915145103e-05, 1.4303773241408635e-05, 0.0, 1.4593862033507321e-05, 1.4749224646948278e-05, 1.431349664926529e-05, 1.4240834389056545e-05, 1.4684497728012502e-05, 1.4532934983435553e-05, 1.4179628124111332e-05, 1.469399740017252e-05, 1.4268662198446691e-05, 1.4549269508279394e-05, 1.4600045687984675e-05, 1.4464314517681487e-05, 1.4509949323837645e-05, 1.4348215700010769e-05, 1.4056544387130998e-05, 1.4610885955335107e-05, 1.1849309885292314e-05, 1.456221525586443e-05, 1.4433208889386151e-05, 1.4498624295811169e-05, 1.4554764675267506e-05, 1.4149695743981283e-05, 1.4720074432261754e-05, 1.4309193829831202e-05]"
ego_v_y,"[-0.031128086149692535, -0.010238958522677422, -0.032238684594631195, -0.01869678869843483, -0.027603304013609886, -0.02012694999575615, -0.02704440802335739, -0.020359503105282784, -0.027064813300967216, -0.02037668414413929, -0.027133779600262642, 0.44935858249664307, 0.9636839032173157, 1.2469291687011719, 1.5510526895523071, 1.8803547620773315, 2.174077272415161, 2.518178939819336, 2.920400619506836, 3.342332363128662, 3.739258289337158, 3.8166756629943848, 4.228590488433838, 4.628610610961914, 5.009710788726807, 5.379037380218506, 5.521258354187012, 5.616354465484619, 5.6173553466796875, 5.639374256134033, 6.039496421813965, 6.671159744262695, 7.141605854034424, 7.448486804962158, 7.532961368560791, 7.576524257659912, 7.559144020080566, 7.572401523590088, 7.550823211669922, 7.5486159324646, 7.516043663024902, 7.509766578674316, 7.4750590324401855, 7.471046447753906, 7.439438819885254, 7.440332412719727, 7.413333415985107, 7.419508457183838, 7.396971702575684, 7.407632350921631, 7.388652324676514, 7.402561664581299, 7.3860087394714355, 7.4015984535217285, 7.385995388031006, 7.401484966278076, 7.3866868019104, 7.403469562530518, 7.3888444900512695, 7.405877590179443, 7.3911452293396, 7.4076080322265625, 7.391483783721924, 7.407122611999512, 7.39100456237793, 7.407131671905518, 7.391576290130615, 7.407552719116211, 7.391848087310791, 7.40765380859375, 7.3918023109436035, 7.407509803771973, 7.391589641571045, 7.40726900100708, 7.391334533691406, 7.407029628753662, 7.391116619110107, 7.406844139099121, 7.390957355499268, 7.406722068786621, 7.390865802764893, 7.406655788421631, 7.3908209800720215, 7.4066314697265625, 7.390808582305908, 7.4066314697265625, 7.390818119049072, 7.406645774841309, 7.3908371925354, 7.406669616699219, 7.390857219696045, 7.406689167022705, 7.390875816345215, 7.406703472137451, 7.390887260437012, 7.406713485717773, 7.390894412994385, 7.406715393066406, 7.390897750854492, 7.406716823577881, 7.390899658203125, 7.406718730926514, 7.390897750854492, 7.406716346740723, 7.39089298248291, 7.406711101531982, 7.3908915519714355, 7.406713008880615, 7.39089298248291, 7.406713008880615, 7.390889644622803, 7.406712532043457, 7.390887260437012, 7.406708717346191, 7.390890121459961, 7.406711101531982, 7.390892028808594, 7.406712532043457, 7.390894412994385, 7.406713485717773, 7.390894412994385, 7.40671443939209, 7.390895366668701, 7.406714916229248, 7.390893936157227, 7.406713008880615, 7.390892028808594, 7.40671443939209, 7.390893459320068, 7.406716346740723, 7.390894412994385, 7.374401569366455, 7.241988182067871, 7.074970722198486, 6.823757171630859, 6.561138153076172, 6.018914222717285, 4.640034198760986, 3.2462661266326904, 1.8575609922409058, 0.48435232043266296, -0.0024748765863478184, -0.005458582658320665, -0.005430150311440229, -0.0045678685419261456, -0.003601099830120802, -0.0027541033923625946, -0.0020739035680890083, -0.0015494152903556824, -0.0011523663997650146, -0.0008553179795853794, -0.0006334901554509997, -0.00046931859105825424, -0.0003479324805084616, -0.0002579846768639982, -0.00019128092390019447, -0.00014228015788830817, -7.677417306695133e-05, -8.315408194903284e-05, -7.170172466430813e-05, -5.749763658968732e-05, -4.464216544874944e-05, -3.4261829569004476e-05, -2.6357825845479965e-05, -2.034250610449817e-05, -9.384043551108334e-06, -1.1775829079851974e-05, -1.1343992809997872e-05, -9.591672096576076e-06, -8.200201591535006e-06, -6.925817615410779e-06, -5.784816949017113e-06, -5.1210258789069485e-06, 0.0, -3.9930641833052505e-06, -4.1076914385485e-06, -3.743879460671451e-06, -3.749430106836371e-06, -3.652181476354599e-06, -3.490224344204762e-06, -3.3045560030586785e-06, -3.2856687539606355e-06, -3.2788327644084347e-06, -2.993997213707189e-06, -3.121625468338607e-06, -3.1509621294389945e-06, -3.0475669063889654e-06, -3.015175479958998e-06, -3.0524470275850035e-06, -3.0708870326634496e-06, -2.902708956753486e-06, -3.097374019489507e-06, -3.017522431036923e-06, -3.026388412763481e-06, -3.0358880849234993e-06, -3.047138307010755e-06, -3.052167585337884e-06, -3.0626169973402284e-06]"
